account_id,month,active_users,features_adopted,logins
A000003,2024-07-25 20:11:05.331064,20,4,237
A000003,2024-08-24 20:11:05.331064,19,4,226
A000003,2024-09-23 20:11:05.331064,17,4,292
A000003,2024-10-23 20:11:05.331064,20,4,271
A000003,2024-11-22 20:11:05.331064,20,4,402
A000003,2024-12-22 20:11:05.331064,17,4,211
A000003,2025-01-21 20:11:05.331064,20,4,358
A000003,2025-02-20 20:11:05.331064,19,4,187
A000003,2025-03-22 20:11:05.331064,19,4,287
A000003,2025-04-21 20:11:05.331064,17,4,285
A000003,2025-05-21 20:11:05.331064,20,4,325
A000003,2025-06-20 20:11:05.331064,18,4,264
A000003,2025-07-20 20:11:05.331064,17,4,284
A000003,2025-08-19 20:11:05.331064,20,4,276
A000003,2025-09-18 20:11:05.331064,20,4,302
A000003,2025-10-18 20:11:05.331064,17,4,206
A000003,2025-11-17 20:11:05.331064,17,4,299
A000003,2025-12-17 20:11:05.331064,21,4,190
A000003,2026-02-15 20:11:05.331064,18,4,280
A000003,2026-03-17 20:11:05.331064,17,4,139
A000003,2026-04-16 20:11:05.331064,19,4,335
A000003,2026-05-16 20:11:05.331064,19,4,289
A000003,2026-06-15 20:11:05.331064,18,4,202
A000003,2026-07-15 20:11:05.331064,18,4,254
A000004,2026-03-17 15:12:31.226309,2,4,31
A000004,2026-04-16 15:12:31.226309,2,4,17
A000004,2026-05-16 15:12:31.226309,2,4,15
A000004,2026-06-15 15:12:31.226309,2,4,32
A000004,2026-07-15 15:12:31.226309,2,4,23
A000005,2024-11-15 20:06:05.672950,2,2,18
A000005,2024-12-15 20:06:05.672950,2,2,35
A000005,2025-01-14 20:06:05.672950,2,2,15
A000005,2025-02-13 20:06:05.672950,2,3,35
A000005,2025-03-15 20:06:05.672950,2,3,40
A000005,2025-04-14 20:06:05.672950,3,3,42
A000005,2025-05-14 20:06:05.672950,3,4,23
A000005,2025-06-13 20:06:05.672950,2,4,31
A000005,2025-07-13 20:06:05.672950,3,4,35
A000005,2025-08-12 20:06:05.672950,3,4,42
A000005,2025-09-11 20:06:05.672950,3,4,51
A000005,2025-10-11 20:06:05.672950,3,5,40
A000005,2025-11-10 20:06:05.672950,3,5,31
A000005,2025-12-10 20:06:05.672950,3,5,48
A000005,2026-01-09 20:06:05.672950,3,6,38
A000005,2026-02-08 20:06:05.672950,4,6,51
A000005,2026-03-10 20:06:05.672950,3,6,34
A000005,2026-04-09 20:06:05.672950,3,6,31
A000005,2026-05-09 20:06:05.672950,3,6,36
A000005,2026-06-08 20:06:05.672950,3,7,61
A000005,2026-07-08 20:06:05.672950,4,7,72
A000006,2024-05-24 04:31:13.295294,5,4,62
A000006,2024-06-23 04:31:13.295294,5,4,63
A000006,2024-07-23 04:31:13.295294,5,4,94
A000006,2024-08-22 04:31:13.295294,5,4,72
A000006,2024-09-21 04:31:13.295294,5,4,86
A000006,2024-10-21 04:31:13.295294,5,4,46
A000006,2024-11-20 04:31:13.295294,5,4,52
A000006,2024-12-20 04:31:13.295294,5,4,75
A000006,2025-01-19 04:31:13.295294,5,4,83
A000006,2025-02-18 04:31:13.295294,5,4,52
A000006,2025-03-20 04:31:13.295294,5,4,92
A000006,2025-04-19 04:31:13.295294,5,4,84
A000006,2025-05-19 04:31:13.295294,5,4,69
A000006,2025-06-18 04:31:13.295294,5,4,62
A000006,2025-07-18 04:31:13.295294,5,4,60
A000006,2025-08-17 04:31:13.295294,5,4,56
A000006,2025-09-16 04:31:13.295294,5,4,82
A000006,2025-10-16 04:31:13.295294,5,4,46
A000006,2025-11-15 04:31:13.295294,5,4,109
A000006,2025-12-15 04:31:13.295294,5,4,66
A000006,2026-01-14 04:31:13.295294,5,4,50
A000006,2026-02-13 04:31:13.295294,5,4,61
A000006,2026-03-15 04:31:13.295294,5,4,46
A000006,2026-05-14 04:31:13.295294,5,4,54
A000006,2026-06-13 04:31:13.295294,5,4,75
A000006,2026-07-13 04:31:13.295294,5,4,99
A000007,2025-09-07 05:09:24.856106,6,3,89
A000007,2025-10-07 05:09:24.856106,5,4,57
A000007,2025-11-06 05:09:24.856106,6,4,70
A000007,2025-12-06 05:09:24.856106,6,4,110
A000007,2026-01-05 05:09:24.856106,6,5,118
A000007,2026-02-04 05:09:24.856106,7,6,73
A000007,2026-03-06 05:09:24.856106,7,6,85
A000007,2026-04-05 05:09:24.856106,9,6,129
A000007,2026-05-05 05:09:24.856106,7,7,114
A000007,2026-06-04 05:09:24.856106,8,8,74
A000007,2026-07-04 05:09:24.856106,9,8,153
A000008,2024-10-14 18:12:48.045036,6,2,98
A000008,2024-11-13 18:12:48.045036,7,2,90
A000008,2024-12-13 18:12:48.045036,7,2,106
A000008,2025-01-12 18:12:48.045036,7,2,69
A000008,2025-02-11 18:12:48.045036,7,2,107
A000008,2025-03-13 18:12:48.045036,7,2,64
A000008,2025-04-12 18:12:48.045036,7,2,57
A000008,2025-05-12 18:12:48.045036,7,2,111
A000008,2025-06-11 18:12:48.045036,8,2,128
A000008,2025-07-11 18:12:48.045036,7,2,120
A000008,2025-08-10 18:12:48.045036,6,2,60
A000008,2025-09-09 18:12:48.045036,7,2,128
A000008,2025-10-09 18:12:48.045036,7,2,106
A000008,2025-11-08 18:12:48.045036,6,2,70
A000008,2025-12-08 18:12:48.045036,8,2,123
A000008,2026-01-07 18:12:48.045036,7,2,58
A000008,2026-02-06 18:12:48.045036,8,2,136
A000008,2026-03-08 18:12:48.045036,7,2,140
A000008,2026-04-07 18:12:48.045036,8,2,114
A000008,2026-05-07 18:12:48.045036,7,2,62
A000008,2026-06-06 18:12:48.045036,7,2,107
A000008,2026-07-06 18:12:48.045036,6,2,77
A000009,2026-05-10 02:08:50.169417,12,2,226
A000009,2026-06-09 02:08:50.169417,9,2,78
A000009,2026-07-09 02:08:50.169417,6,1,107
A000010,2024-06-12 01:34:41.840869,4,2,54
A000010,2024-07-12 01:34:41.840869,4,2,65
A000010,2024-08-11 01:34:41.840869,4,2,74
A000010,2024-09-10 01:34:41.840869,4,3,53
A000010,2024-10-10 01:34:41.840869,4,3,81
A000010,2024-11-09 01:34:41.840869,4,3,52
A000010,2024-12-09 01:34:41.840869,5,3,78
A000010,2025-01-08 01:34:41.840869,5,3,93
A000010,2025-02-07 01:34:41.840869,5,4,89
A000010,2025-03-09 01:34:41.840869,6,4,88
A000010,2025-05-08 01:34:41.840869,5,4,66
A000010,2025-06-07 01:34:41.840869,5,4,40
A000010,2025-07-07 01:34:41.840869,5,4,92
A000010,2025-08-06 01:34:41.840869,6,5,54
A000010,2025-09-05 01:34:41.840869,6,5,96
A000010,2025-10-05 01:34:41.840869,6,5,110
A000010,2025-11-04 01:34:41.840869,7,5,57
A000010,2025-12-04 01:34:41.840869,6,5,87
A000010,2026-01-03 01:34:41.840869,7,6,91
A000010,2026-02-02 01:34:41.840869,6,6,69
A000010,2026-03-04 01:34:41.840869,7,6,68
A000010,2026-04-03 01:34:41.840869,7,6,56
A000010,2026-05-03 01:34:41.840869,8,6,119
A000010,2026-06-02 01:34:41.840869,8,7,134
A000010,2026-07-02 01:34:41.840869,7,7,80
A000010,2026-08-01 01:34:41.840869,7,7,100
A000011,2026-06-29 01:48:48.444121,8,4,139
A000011,2026-07-29 01:48:48.444121,3,2,26
A000012,2026-06-10 15:27:31.347248,2,3,26
A000012,2026-07-10 15:27:31.347248,2,3,19
A000013,2025-11-23 05:04:48.580482,2,3,38
A000013,2025-12-23 05:04:48.580482,2,3,32
A000013,2026-01-22 05:04:48.580482,1,3,20
A000013,2026-02-21 05:04:48.580482,1,3,26
A000013,2026-03-23 05:04:48.580482,2,2,15
A000013,2026-04-22 05:04:48.580482,1,2,22
A000013,2026-05-22 05:04:48.580482,1,2,14
A000013,2026-06-21 05:04:48.580482,1,2,11
A000013,2026-07-21 05:04:48.580482,1,2,10
A000014,2024-05-21 00:35:16.436350,3,3,40
A000014,2024-06-20 00:35:16.436350,3,3,52
A000014,2024-07-20 00:35:16.436350,3,3,27
A000014,2024-08-19 00:35:16.436350,3,3,31
A000014,2024-09-18 00:35:16.436350,3,3,39
A000014,2024-10-18 00:35:16.436350,3,3,49
A000014,2024-11-17 00:35:16.436350,3,3,57
A000014,2024-12-17 00:35:16.436350,3,3,37
A000014,2025-01-16 00:35:16.436350,3,3,37
A000014,2025-02-15 00:35:16.436350,3,3,51
A000014,2025-03-17 00:35:16.436350,3,3,45
A000014,2025-04-16 00:35:16.436350,3,3,40
A000014,2025-05-16 00:35:16.436350,3,3,61
A000014,2025-06-15 00:35:16.436350,3,3,50
A000014,2025-07-15 00:35:16.436350,3,3,51
A000014,2025-08-14 00:35:16.436350,3,3,23
A000014,2025-09-13 00:35:16.436350,3,3,47
A000014,2025-10-13 00:35:16.436350,3,3,40
A000014,2025-11-12 00:35:16.436350,3,3,45
A000014,2025-12-12 00:35:16.436350,3,3,54
A000014,2026-01-11 00:35:16.436350,3,3,42
A000014,2026-03-12 00:35:16.436350,3,3,31
A000014,2026-04-11 00:35:16.436350,3,3,51
A000014,2026-05-11 00:35:16.436350,3,3,56
A000014,2026-06-10 00:35:16.436350,3,3,46
A000015,2025-08-17 10:16:11.455850,2,3,28
A000015,2025-09-16 10:16:11.455850,2,3,14
A000015,2025-10-16 10:16:11.455850,1,2,11
A000015,2025-11-15 10:16:11.455850,1,2,13
A000015,2025-12-15 10:16:11.455850,1,2,12
A000016,2023-07-21 09:03:59.223845,2,3,26
A000016,2023-08-20 09:03:59.223845,2,3,38
A000016,2023-09-19 09:03:59.223845,2,3,23
A000016,2023-10-19 09:03:59.223845,2,3,41
A000016,2023-11-18 09:03:59.223845,2,4,46
A000016,2023-12-18 09:03:59.223845,2,4,20
A000016,2024-01-17 09:03:59.223845,3,4,46
A000016,2024-02-16 09:03:59.223845,2,4,26
A000016,2024-03-17 09:03:59.223845,2,4,32
A000016,2024-04-16 09:03:59.223845,2,4,18
A000016,2024-05-16 09:03:59.223845,3,4,42
A000016,2024-06-15 09:03:59.223845,3,5,28
A000016,2024-07-15 09:03:59.223845,3,5,23
A000016,2024-08-14 09:03:59.223845,2,5,44
A000016,2024-09-13 09:03:59.223845,2,5,36
A000016,2024-10-13 09:03:59.223845,3,5,32
A000016,2024-11-12 09:03:59.223845,3,5,32
A000016,2024-12-12 09:03:59.223845,3,5,29
A000016,2025-01-11 09:03:59.223845,3,6,45
A000016,2025-02-10 09:03:59.223845,3,6,27
A000016,2025-03-12 09:03:59.223845,3,6,28
A000016,2025-04-11 09:03:59.223845,3,6,48
A000016,2025-05-11 09:03:59.223845,3,6,38
A000016,2025-06-10 09:03:59.223845,3,6,42
A000016,2025-07-10 09:03:59.223845,3,6,32
A000016,2025-08-09 09:03:59.223845,3,6,30
A000016,2025-09-08 09:03:59.223845,3,7,43
A000016,2025-10-08 09:03:59.223845,3,7,38
A000016,2025-11-07 09:03:59.223845,3,7,45
A000016,2025-12-07 09:03:59.223845,3,7,30
A000016,2026-02-05 09:03:59.223845,3,7,33
A000016,2026-04-06 09:03:59.223845,3,8,31
A000016,2026-05-06 09:03:59.223845,3,8,30
A000016,2026-06-05 09:03:59.223845,4,8,39
A000016,2026-07-05 09:03:59.223845,4,8,51
A000017,2024-11-14 07:34:10.734696,3,3,58
A000017,2024-12-14 07:34:10.734696,3,3,52
A000017,2025-01-13 07:34:10.734696,3,3,32
A000017,2025-03-14 07:34:10.734696,3,3,55
A000017,2025-04-13 07:34:10.734696,3,3,31
A000017,2025-05-13 07:34:10.734696,3,3,51
A000017,2025-06-12 07:34:10.734696,3,3,34
A000017,2025-07-12 07:34:10.734696,3,3,53
A000017,2025-08-11 07:34:10.734696,3,3,37
A000017,2025-09-10 07:34:10.734696,3,3,45
A000017,2025-10-10 07:34:10.734696,3,3,31
A000017,2025-11-09 07:34:10.734696,3,3,50
A000017,2025-12-09 07:34:10.734696,3,3,37
A000017,2026-01-08 07:34:10.734696,3,3,31
A000017,2026-02-07 07:34:10.734696,3,3,55
A000017,2026-03-09 07:34:10.734696,3,3,56
A000017,2026-04-08 07:34:10.734696,3,3,42
A000017,2026-05-08 07:34:10.734696,3,3,34
A000017,2026-06-07 07:34:10.734696,3,3,36
A000017,2026-07-07 07:34:10.734696,3,3,27
A000018,2025-11-11 00:27:43.312924,2,2,37
A000018,2025-12-11 00:27:43.312924,2,2,20
A000018,2026-01-10 00:27:43.312924,2,2,25
A000018,2026-02-09 00:27:43.312924,2,2,26
A000018,2026-03-11 00:27:43.312924,2,2,21
A000018,2026-04-10 00:27:43.312924,2,2,15
A000018,2026-05-10 00:27:43.312924,2,2,32
A000018,2026-07-09 00:27:43.312924,2,2,32
A000019,2026-03-25 09:54:25.551973,3,4,45
A000019,2026-04-24 09:54:25.551973,3,4,36
A000019,2026-05-24 09:54:25.551973,3,4,26
A000019,2026-06-23 09:54:25.551973,3,4,34
A000019,2026-07-23 09:54:25.551973,3,4,45
A000020,2026-08-03 16:17:23.571948,9,2,71
A000021,2024-08-05 21:58:04.474867,12,3,106
A000021,2024-09-04 21:58:04.474867,12,3,157
A000021,2024-10-04 21:58:04.474867,12,3,197
A000021,2024-11-03 21:58:04.474867,11,3,162
A000021,2024-12-03 21:58:04.474867,10,3,140
A000021,2025-02-01 21:58:04.474867,11,3,172
A000021,2025-03-03 21:58:04.474867,12,3,195
A000021,2025-04-02 21:58:04.474867,12,3,156
A000021,2025-05-02 21:58:04.474867,10,3,127
A000021,2025-06-01 21:58:04.474867,12,3,164
A000021,2025-07-01 21:58:04.474867,12,3,116
A000021,2025-07-31 21:58:04.474867,11,3,162
A000021,2025-08-30 21:58:04.474867,11,3,96
A000021,2025-09-29 21:58:04.474867,12,3,169
A000021,2025-10-29 21:58:04.474867,11,3,128
A000021,2025-11-28 21:58:04.474867,12,3,232
A000021,2025-12-28 21:58:04.474867,11,3,157
A000021,2026-01-27 21:58:04.474867,12,3,201
A000021,2026-02-26 21:58:04.474867,11,3,141
A000021,2026-03-28 21:58:04.474867,11,3,153
A000021,2026-04-27 21:58:04.474867,10,3,155
A000021,2026-05-27 21:58:04.474867,12,3,127
A000021,2026-06-26 21:58:04.474867,11,3,119
A000021,2026-07-26 21:58:04.474867,11,3,215
A000022,2024-09-18 19:31:18.187388,2,4,32
A000022,2024-10-18 19:31:18.187388,2,4,18
A000022,2024-11-17 19:31:18.187388,2,4,15
A000022,2024-12-17 19:31:18.187388,2,3,31
A000022,2025-01-16 19:31:18.187388,1,3,25
A000022,2025-02-15 19:31:18.187388,1,3,19
A000022,2025-03-17 19:31:18.187388,1,3,9
A000022,2025-04-16 19:31:18.187388,1,3,18
A000022,2025-05-16 19:31:18.187388,1,2,8
A000023,2025-08-01 02:08:50.987361,33,3,505
A000023,2025-08-31 02:08:50.987361,32,3,347
A000023,2025-09-30 02:08:50.987361,35,4,557
A000023,2025-10-30 02:08:50.987361,41,4,624
A000023,2025-11-29 02:08:50.987361,42,5,545
A000023,2026-01-28 02:08:50.987361,45,6,860
A000023,2026-02-27 02:08:50.987361,39,6,409
A000023,2026-03-29 02:08:50.987361,43,6,776
A000023,2026-04-28 02:08:50.987361,46,7,381
A000023,2026-05-28 02:08:50.987361,47,7,435
A000023,2026-06-27 02:08:50.987361,56,8,661
A000024,2025-10-21 17:08:27.237817,2,4,41
A000024,2025-11-20 17:08:27.237817,2,4,24
A000024,2025-12-20 17:08:27.237817,2,4,28
A000024,2026-01-19 17:08:27.237817,2,4,23
A000024,2026-02-18 17:08:27.237817,2,4,17
A000024,2026-03-20 17:08:27.237817,2,4,21
A000024,2026-04-19 17:08:27.237817,2,4,30
A000024,2026-05-19 17:08:27.237817,2,4,21
A000024,2026-06-18 17:08:27.237817,2,4,26
A000024,2026-07-18 17:08:27.237817,2,4,38
A000025,2024-05-23 23:40:37.840434,10,4,91
A000025,2024-06-22 23:40:37.840434,10,4,145
A000025,2024-07-22 23:40:37.840434,11,4,166
A000025,2024-08-21 23:40:37.840434,9,4,149
A000025,2024-09-20 23:40:37.840434,11,4,170
A000025,2024-10-20 23:40:37.840434,10,4,136
A000025,2024-11-19 23:40:37.840434,11,4,149
A000025,2024-12-19 23:40:37.840434,10,4,127
A000025,2025-01-18 23:40:37.840434,10,4,81
A000025,2025-02-17 23:40:37.840434,11,4,118
A000025,2025-03-19 23:40:37.840434,9,4,156
A000025,2025-04-18 23:40:37.840434,9,4,112
A000025,2025-06-17 23:40:37.840434,10,4,173
A000025,2025-07-17 23:40:37.840434,11,4,174
A000025,2025-08-16 23:40:37.840434,10,4,203
A000025,2025-09-15 23:40:37.840434,11,4,189
A000025,2025-10-15 23:40:37.840434,11,4,163
A000025,2025-11-14 23:40:37.840434,9,4,127
A000025,2025-12-14 23:40:37.840434,9,4,117
A000025,2026-01-13 23:40:37.840434,10,4,146
A000025,2026-03-14 23:40:37.840434,10,4,161
A000025,2026-05-13 23:40:37.840434,9,4,115
A000025,2026-06-12 23:40:37.840434,10,4,148
A000025,2026-07-12 23:40:37.840434,10,4,133
A000026,2024-10-24 10:48:39.591604,2,3,36
A000026,2024-11-23 10:48:39.591604,2,3,25
A000026,2024-12-23 10:48:39.591604,2,3,24
A000026,2025-01-22 10:48:39.591604,2,3,33
A000026,2025-02-21 10:48:39.591604,2,3,22
A000026,2025-03-23 10:48:39.591604,2,3,18
A000026,2025-04-22 10:48:39.591604,2,3,34
A000026,2025-05-22 10:48:39.591604,2,3,31
A000026,2025-06-21 10:48:39.591604,2,3,32
A000026,2025-07-21 10:48:39.591604,2,3,30
A000026,2025-08-20 10:48:39.591604,2,3,18
A000026,2025-10-19 10:48:39.591604,2,3,15
A000026,2025-11-18 10:48:39.591604,2,3,21
A000026,2025-12-18 10:48:39.591604,2,3,17
A000026,2026-01-17 10:48:39.591604,2,3,37
A000026,2026-03-18 10:48:39.591604,2,3,24
A000026,2026-04-17 10:48:39.591604,2,3,19
A000026,2026-05-17 10:48:39.591604,2,3,23
A000026,2026-06-16 10:48:39.591604,2,3,23
A000026,2026-07-16 10:48:39.591604,2,3,17
A000027,2024-06-29 01:34:59.262721,2,3,24
A000027,2024-07-29 01:34:59.262721,2,3,31
A000027,2024-08-28 01:34:59.262721,2,3,36
A000027,2024-09-27 01:34:59.262721,2,3,32
A000027,2024-10-27 01:34:59.262721,2,3,22
A000027,2024-11-26 01:34:59.262721,2,3,25
A000027,2024-12-26 01:34:59.262721,2,3,23
A000027,2025-01-25 01:34:59.262721,1,2,21
A000027,2025-02-24 01:34:59.262721,1,2,12
A000027,2025-03-26 01:34:59.262721,1,2,12
A000027,2025-04-25 01:34:59.262721,1,2,26
A000027,2025-05-25 01:34:59.262721,1,2,17
A000027,2025-06-24 01:34:59.262721,1,2,21
A000027,2025-07-24 01:34:59.262721,1,2,15
A000027,2025-08-23 01:34:59.262721,1,2,14
A000027,2025-09-22 01:34:59.262721,1,2,11
A000028,2025-11-25 23:45:23.724817,2,4,20
A000028,2025-12-25 23:45:23.724817,2,4,15
A000028,2026-01-24 23:45:23.724817,2,4,25
A000028,2026-02-23 23:45:23.724817,2,4,30
A000028,2026-03-25 23:45:23.724817,2,4,22
A000028,2026-04-24 23:45:23.724817,2,4,19
A000028,2026-05-24 23:45:23.724817,2,4,34
A000028,2026-06-23 23:45:23.724817,2,4,34
A000028,2026-07-23 23:45:23.724817,2,4,17
A000029,2023-11-16 17:45:08.174729,2,4,18
A000029,2023-12-16 17:45:08.174729,2,4,18
A000029,2024-01-15 17:45:08.174729,2,4,20
A000029,2024-02-14 17:45:08.174729,2,4,27
A000029,2024-03-15 17:45:08.174729,2,4,27
A000029,2024-04-14 17:45:08.174729,2,4,29
A000029,2024-05-14 17:45:08.174729,2,4,36
A000029,2024-06-13 17:45:08.174729,2,4,27
A000029,2024-07-13 17:45:08.174729,2,4,28
A000029,2024-08-12 17:45:08.174729,2,4,16
A000029,2024-09-11 17:45:08.174729,2,4,27
A000029,2024-10-11 17:45:08.174729,2,4,38
A000029,2024-11-10 17:45:08.174729,2,4,31
A000029,2024-12-10 17:45:08.174729,2,4,30
A000029,2025-01-09 17:45:08.174729,2,4,41
A000029,2025-02-08 17:45:08.174729,2,4,36
A000029,2025-03-10 17:45:08.174729,2,4,18
A000029,2025-04-09 17:45:08.174729,2,4,24
A000029,2025-05-09 17:45:08.174729,2,4,16
A000029,2025-06-08 17:45:08.174729,2,4,16
A000029,2025-07-08 17:45:08.174729,2,4,30
A000029,2025-08-07 17:45:08.174729,2,4,19
A000029,2025-09-06 17:45:08.174729,2,4,34
A000029,2025-10-06 17:45:08.174729,2,4,19
A000029,2025-11-05 17:45:08.174729,2,4,24
A000029,2025-12-05 17:45:08.174729,2,4,28
A000029,2026-01-04 17:45:08.174729,2,4,24
A000029,2026-02-03 17:45:08.174729,2,4,28
A000029,2026-03-05 17:45:08.174729,2,4,42
A000029,2026-04-04 17:45:08.174729,2,4,24
A000029,2026-05-04 17:45:08.174729,2,4,34
A000029,2026-06-03 17:45:08.174729,2,4,17
A000029,2026-07-03 17:45:08.174729,2,4,16
A000030,2024-06-23 23:52:52.533218,2,4,20
A000030,2024-07-23 23:52:52.533218,2,4,23
A000030,2024-08-22 23:52:52.533218,2,4,20
A000030,2024-09-21 23:52:52.533218,2,3,17
A000030,2024-10-21 23:52:52.533218,1,3,13
A000030,2024-11-20 23:52:52.533218,1,3,11
A000030,2024-12-20 23:52:52.533218,1,3,13
A000030,2025-01-19 23:52:52.533218,1,2,12
A000031,2025-04-26 14:35:05.291074,2,2,15
A000031,2025-05-26 14:35:05.291074,2,2,16
A000031,2025-06-25 14:35:05.291074,2,2,37
A000031,2025-07-25 14:35:05.291074,2,2,26
A000031,2025-08-24 14:35:05.291074,2,2,34
A000031,2025-09-23 14:35:05.291074,2,2,20
A000031,2025-10-23 14:35:05.291074,2,2,22
A000031,2025-11-22 14:35:05.291074,2,2,26
A000031,2025-12-22 14:35:05.291074,2,2,18
A000031,2026-01-21 14:35:05.291074,2,2,27
A000031,2026-02-20 14:35:05.291074,2,2,38
A000031,2026-03-22 14:35:05.291074,2,2,30
A000031,2026-04-21 14:35:05.291074,2,2,27
A000031,2026-05-21 14:35:05.291074,2,2,27
A000031,2026-06-20 14:35:05.291074,2,2,32
A000031,2026-07-20 14:35:05.291074,2,2,33
A000032,2025-05-31 00:36:06.736712,2,4,33
A000032,2025-06-30 00:36:06.736712,2,4,29
A000032,2025-07-30 00:36:06.736712,2,4,17
A000032,2025-08-29 00:36:06.736712,2,3,28
A000032,2025-10-28 00:36:06.736712,1,3,18
A000032,2025-11-27 00:36:06.736712,1,3,14
A000032,2025-12-27 00:36:06.736712,1,2,13
A000033,2024-03-22 15:06:28.475013,2,2,1850
A000033,2024-04-21 15:06:28.475013,2,2,1100
A000033,2024-05-21 15:06:28.475013,2,2,1350
A000033,2024-06-20 15:06:28.475013,2,2,1650
A000033,2024-07-20 15:06:28.475013,2,2,2050
A000033,2024-08-19 15:06:28.475013,2,2,1050
A000033,2024-09-18 15:06:28.475013,2,2,1700
A000033,2024-10-18 15:06:28.475013,2,2,950
A000033,2024-11-17 15:06:28.475013,2,2,1400
A000033,2024-12-17 15:06:28.475013,2,2,1100
A000033,2025-01-16 15:06:28.475013,2,2,1800
A000033,2025-02-15 15:06:28.475013,2,2,1700
A000033,2025-03-17 15:06:28.475013,2,2,1750
A000033,2025-04-16 15:06:28.475013,2,2,1100
A000033,2025-05-16 15:06:28.475013,2,2,1200
A000033,2025-06-15 15:06:28.475013,2,2,1150
A000033,2025-07-15 15:06:28.475013,2,2,800
A000033,2025-08-14 15:06:28.475013,2,2,1050
A000033,2025-09-13 15:06:28.475013,2,2,1350
A000033,2025-10-13 15:06:28.475013,2,2,950
A000033,2025-11-12 15:06:28.475013,2,2,1850
A000033,2025-12-12 15:06:28.475013,2,2,1050
A000033,2026-01-11 15:06:28.475013,2,2,1300
A000033,2026-02-10 15:06:28.475013,2,2,1100
A000033,2026-03-12 15:06:28.475013,2,2,1450
A000033,2026-04-11 15:06:28.475013,2,2,1050
A000033,2026-05-11 15:06:28.475013,2,2,850
A000033,2026-06-10 15:06:28.475013,2,2,800
A000033,2026-07-10 15:06:28.475013,2,2,1800
A000034,2024-12-01 12:35:27.481746,2,3,24
A000034,2024-12-31 12:35:27.481746,2,3,25
A000034,2025-01-30 12:35:27.481746,2,3,18
A000034,2025-03-01 12:35:27.481746,2,3,39
A000034,2025-03-31 12:35:27.481746,2,3,19
A000034,2025-04-30 12:35:27.481746,2,3,33
A000034,2025-05-30 12:35:27.481746,2,3,18
A000034,2025-06-29 12:35:27.481746,2,3,30
A000034,2025-07-29 12:35:27.481746,2,3,23
A000034,2025-08-28 12:35:27.481746,2,3,24
A000034,2025-09-27 12:35:27.481746,2,3,35
A000034,2025-10-27 12:35:27.481746,2,3,32
