lead_id,company_name,industry,company_size,lead_source,created_date,pricing_page_visits,demo_requested,content_downloads,email_opens,converted,converted_date
L000030,Burton Ltd,Health Care,,Paid Search,2026-02-23,6,False,4,1,False,
L000031,Carlson-Cruz,Real Estate,290.0,Referral,2026-04-12,3,True,2,2,False,
L000032,"Ferrell, Rice and Maddox",Logistics,51.0,Event/Webinar,2025-03-28,1,False,1,5,False,
L000033,Frazier Inc,Education,7.0,Paid Search,2023-10-11,2,False,0,1,True,2023-12-15
L000034,"Dyer, Potter and Mack",Media,132.0,Organic Search,2023-04-07,5,False,1,0,False,
L000035,Rodriguez-Graham,financial tech,117.0,Paid Search,2026-07-09,1,False,3,4,True,2026-07-19
L000036,Smith-Bowen,Logistics,1246.0,Event/Webinar,2023-05-11,2,False,1,4,False,
L000037,"Baker, Mason and White",Logistics,,Outbound SDR,2026-05-05,3,False,2,2,True,2026-07-03
L000038,Harrell LLC,Real Estate,370.0,Referral,2026-02-07,4,False,4,1,False,
L000039,"Romero, Gonzalez and Brooks",SaaS,90.0,Partner,2023-08-23,5,True,2,3,False,
L000040,Ryan PLC,Real Estate,579.0,Referral,2026-08-05,6,False,0,0,False,
L000041,George Group,Education,537.0,Organic Search,2024-08-24,2,True,1,4,False,
L000042,Rodriguez LLC,Logistics,635.0,Paid Search,2025-07-18,3,False,1,4,False,
L000043,Allen-Allen,SaaS,,Partner,2024-06-23,2,False,2,1,True,2024-08-26
L000044,"Arroyo, Miller and Tucker",Healthcare,33.0,Event/Webinar,2023-08-06,1,True,1,3,False,
L000045,Spence PLC,Manufacturing,38.0,Partner,2025-11-05,3,True,2,2,False,
L000046,Anderson Group,Consulting,42.0,Paid Search,2023-11-10,2,True,3,1,False,
L000047,"Martin, Rose and Obrien",Education,34.0,Paid Search,2026-01-09,2,False,0,1,False,
L000048,Hickman Ltd,Real Estate,681.0,Organic Search,2026-05-11,3,False,2,1,True,2026-06-21
L000049,"Harris, Collins and Carney",,273.0,Organic Search,2023-08-18,4,True,0,1,True,2023-10-03
L000050,"Brooks, Lam and Hayes",Manufacturing,33.0,Paid Search,2023-04-29,2,False,2,5,False,
L000051,Walker LLC,Retail,101.0,Event/Webinar,2023-06-11,3,True,1,2,False,
L000052,Chapman and Sons,Fintech,193.0,Partner,2025-09-22,2,False,0,1,True,2025-09-30
L000053,"Robinson, Jones and Welch",Real Estate,43.0,Paid Search,2023-09-20,5,False,3,3,False,
L000054,Jones Inc,Media,365.0,Event/Webinar,2023-12-05,2,True,0,3,True,2024-01-07
L000055,Jones-Young,Real Estate,65.0,Event/Webinar,2025-05-16,3,False,2,3,False,
L000056,"Washington, Ryan and Cummings",Retail,31.0,Event/Webinar,2024-02-16,4,False,4,3,False,
L000057,"Johnston, Sanchez and Kennedy",Manufacturing,159.0,Outbound SDR,2026-08-23,3,False,0,2,True,2026-08-28
L000058,Lee-Davis,Media,286.0,Event/Webinar,2025-07-13,4,False,0,5,False,
L000059,Gomez-Jenkins,,1694.0,Paid Search,2024-04-05,1,False,5,6,True,2024-04-13
L000060,"Brown, Valdez and Lucas",,96.0,Organic Search,2026-04-19,3,False,1,4,True,2026-06-28
L000061,Powell LLC,Retail,60.0,Event/Webinar,2024-03-27,2,True,0,4,True,2024-03-27
L000062,Wright and Sons,Fintech,65.0,Partner,2026-07-16,1,False,2,3,False,
L000063,"West, Henderson and Ramirez",SaaS,86.0,Paid Search,2023-05-19,2,False,2,2,True,2023-05-23
L000064,Baxter Inc,Education,16.0,Organic Search,2025-11-18,3,True,2,2,True,2025-12-18
L000065,Morton-Chase,Manufacturing,101.0,Partner,2025-09-21,2,True,0,4,False,
L000066,Williams PLC,Retail,40.0,Event/Webinar,2023-09-28,2,True,0,0,True,2023-12-10
L000067,Novak and Sons,Consulting,,Outbound SDR,2024-05-12,4,False,1,4,False,
L000068,Russell Group,Media,46.0,Outbound SDR,2024-01-25,5,True,1,2,False,
L000069,Hancock Inc,Fintech,92.0,Organic Search,2025-06-01,2,True,1,4,True,2025-07-16
L000070,Gray Group,Logistics,,Outbound SDR,2025-08-14,2,False,1,1,True,2025-08-20
L000071,House-Glover,Fintech,59.0,Organic Search,2025-04-04,3,False,2,5,True,2025-05-17
L000072,Henderson-Bernard,Fintech,186.0,Paid Search,2024-01-28,1,False,1,2,False,
L000073,"Stanley, Tucker and Lee",Retail,962.0,Event/Webinar,2025-07-07,2,False,2,2,False,
L000074,Novak PLC,,18.0,Outbound SDR,2024-01-11,6,False,1,3,False,
L000075,"Daniels, Adkins and Brown",Manufacturing,,Outbound SDR,2024-05-26,1,False,4,4,False,
L000076,"Woods, Calhoun and Schmidt",Fintech,53.0,Outbound SDR,2026-02-01,1,False,2,3,False,
L000077,Yu Inc,Fintech,124.0,Organic Search,2026-08-28,2,False,0,7,False,
L000078,Jones Inc,Real Estate,271.0,Organic Search,2023-07-11,4,False,1,2,True,2023-08-10
L000079,"Hensley, Powell and David",Healthcare,86.0,Outbound SDR,2025-09-21,3,False,1,5,False,
L000080,"Sanchez, Wheeler and Harvey",Media,365.0,Paid Search,2025-04-01,2,True,0,3,False,
L000081,Sandoval-Cunningham,,495.0,Paid Search,2025-02-15,2,False,1,3,False,
L000082,Donovan-Harris,SaaS,43.0,Outbound SDR,2024-06-27,7,False,1,2,True,2024-08-24
L000083,"Edwards, Baker and Anderson",Manufacturing,48.0,Outbound SDR,2026-02-12,4,False,2,8,False,
L000084,"Evans, Stewart and Walton",Media,472.0,Paid Search,2024-01-24,3,True,1,2,False,
L000085,Smith PLC,Manufacturing,93.0,Paid Search,2023-04-30,1,False,3,3,False,
L000086,"Ferrell, Jones and Lewis",Consulting,171.0,Partner,2026-01-15,4,False,1,2,False,
L000087,Anderson-Bailey,SaaS,377.0,Partner,2024-10-04,1,False,3,1,True,2024-10-11
L000088,Suarez LLC,Software,76.0,Event/Webinar,2025-09-03,4,False,1,3,True,2025-11-06
L000089,Moore-Bass,Real Estate,,Paid Search,2023-04-27,3,False,3,4,True,2023-07-01
L000090,"Turner, Riggs and Roman",financial tech,98.0,Paid Search,2023-05-21,5,False,5,0,False,
L000091,"Smith, Montoya and Evans",Consulting,403.0,Organic Search,2024-04-26,2,True,2,1,True,2024-06-16
L000092,"Garcia, Humphrey and Baker",Fintech,246.0,Event/Webinar,2024-05-19,3,True,1,5,True,2024-08-01
L000093,Newton and Sons,Consulting,65.0,Organic Search,2026-06-22,3,False,2,2,False,
L000094,Campbell-Clark,Fintech,27.0,Outbound SDR,2026-04-10,4,True,0,2,False,
L000095,Harris-Walters,Consulting,96.0,Event/Webinar,2024-10-09,5,False,0,6,True,2024-11-11
L000096,Wagner-King,Retail,26.0,Partner,2024-10-05,5,True,3,1,True,2024-11-04
L000097,Davis Group,,66.0,Outbound SDR,2023-09-26,5,False,1,7,False,
L000098,Williams-Cook,Manufacturing,235.0,Outbound SDR,2024-10-09,2,False,1,3,False,
L000099,Walsh LLC,Fintech,132.0,organic-search,2025-07-27,2,False,2,2,False,
L000100,Figueroa PLC,Consulting,237.0,Event/Webinar,2023-07-24,3,False,1,1,False,
L000101,"Patterson, Smith and Jones",Fintech,297.0,Event/Webinar,2024-03-12,2,False,1,1,False,
L000102,"Mckee, Gardner and Davenport",Real Estate,61.0,Referral,2023-09-29,6,True,1,2,True,2023-11-12
L000103,"Tran, Jordan and Williams",Fintech,216.0,Paid Search,2025-01-26,3,True,2,6,True,2025-03-03
L000104,Nolan-Flynn,Healthcare,29.0,Outbound SDR,2026-01-17,3,False,2,8,False,
L000105,Nolan and Sons,Manufacturing,,Event/Webinar,2026-09-01,3,False,0,2,False,
L000106,"Wright, Garcia and Deleon",Real Estate,300.0,Organic Search,2026-02-09,5,False,4,3,True,2026-03-19
L000107,Dickson-Brady,financial tech,19.0,Paid Search,2024-06-25,3,True,1,1,False,
L000108,Hancock and Sons,Fintech,,Organic Search,2026-02-07,4,True,1,5,True,2026-02-26
L000109,Johnson-Doyle,Manufacturing,223.0,Referral,2026-05-23,4,False,1,2,True,2026-06-18
L000110,Patton-Jenkins,Education,111.0,Paid Search,2026-07-22,4,False,0,2,False,
L000111,"Shields, Cochran and Adams",Manufacturing,43.0,Event/Webinar,2025-09-27,4,False,1,6,False,
L000112,"Rodriguez, Brennan and Garrison",,357.0,Organic Search,2023-07-09,3,False,2,2,False,
L000113,Gonzalez Group,Logistics,21.0,Referral,2023-04-01,5,True,2,3,False,
L000114,Torres-Pope,SaaS,148.0,Referral,2023-09-25,4,False,1,2,True,2023-12-15
L000115,Walker Ltd,Manufacturing,24.0,Paid Search,2025-06-23,2,False,0,5,False,
L000116,Ross LLC,Real Estate,392.0,Partner,2025-05-25,5,True,2,3,True,2025-08-04
L000117,Rasmussen LLC,SaaS,37.0,organic-search,2023-06-04,4,False,0,6,False,
L000118,May-Ross,Healthcare,,Event/Webinar,2023-03-15,3,False,1,2,False,
L000119,"Rivera, Johnson and Wiley",Education,23.0,Event/Webinar,2026-02-05,6,True,1,6,True,2026-02-23
L000120,White-Estes,Logistics,21.0,Paid Search,2023-03-27,5,True,4,2,True,2023-05-05
L000121,Johnson-Carlson,,43.0,Organic Search,2025-01-02,1,True,3,3,False,
L000122,Chandler-Edwards,Retail,172.0,Partner,2024-05-26,2,True,2,2,False,
L000123,"Joyce, Wilson and Lam",financial tech,45.0,Referral,2026-02-20,2,True,0,1,False,
L000124,Scott Ltd,Logistics,,Event/Webinar,2023-11-13,4,False,1,5,False,
L000125,Smith-Frost,Retail,56.0,Paid Search,2023-12-29,3,False,0,0,False,
L000126,"Mcdaniel, Bentley and Mclaughlin",Logistics,88.0,Organic Search,2024-01-03,1,False,2,2,False,
L000127,Diaz Inc,Education,5.0,Outbound SDR,2024-05-23,4,False,2,3,False,
L000128,"Mccall, Hanson and Alvarado",Manufacturing,1198.0,Paid Search,2023-08-10,5,False,0,3,True,2023-09-27
L000129,Cortez LLC,SaaS,58.0,Outbound SDR,2024-03-31,1,True,3,3,True,2024-04-25
L000130,"Parker, Ortiz and Powell",Media,,Referral,2024-09-17,4,True,2,2,True,2024-10-16
L000131,Spencer-Lee,Retail,443.0,Organic Search,2024-01-31,3,False,3,4,True,2024-03-22
L000132,"Bentley, Byrd and Orr",Education,25.0,Referral,2023-05-23,5,True,0,7,False,
L000133,"Carroll, Sullivan and Bass",Manufacturing,386.0,Referral,2026-08-06,5,False,2,1,False,
L000134,Mitchell-Jordan,Real Estate,47.0,Outbound SDR,2026-01-03,5,False,1,4,False,
L000135,"Lawson, Morris and Ramos",Education,70.0,Organic Search,2023-08-25,3,False,1,3,False,
L000136,"Lewis, Kennedy and Santana",Manufacturing,15.0,Paid Search,2026-04-04,2,False,2,5,True,2026-05-07
L000137,"Jackson, Miller and Robertson",SaaS,14.0,Organic Search,2026-05-06,2,False,2,6,False,
L000138,"Harvey, Davis and Crane",Logistics,,Referral,2024-10-04,2,True,4,1,True,2024-11-28
L000139,Chambers and Sons,Consulting,81.0,Event/Webinar,2023-08-25,6,False,1,4,True,2023-10-13
L000140,Hernandez Inc,Consulting,16.0,Paid Search,2024-06-05,1,True,2,3,False,
L000141,Riggs PLC,SaaS,57.0,Partner,2025-06-12,4,True,2,4,False,
L000142,Gibson Ltd,SaaS,,Event/Webinar,2026-01-07,1,True,1,3,False,
L000143,"Lee, Horton and Snyder",Retail,539.0,Referral,2025-06-02,2,False,0,2,False,
L000144,Hernandez Ltd,Fintech,10.0,Partner,2024-11-07,2,False,3,4,False,
L000145,Stafford Inc,Consulting,128.0,Referral,2023-09-13,5,True,0,2,False,
L000146,Robinson-Brock,Manufacturing,26.0,Event/Webinar,2024-09-25,3,False,1,2,False,
L000147,"Holmes, Williams and Wright",Logistics,151.0,Referral,2025-04-04,4,False,0,3,False,
L000148,Bryant Group,Manufacturing,41.0,Event/Webinar,2023-09-18,2,False,1,7,True,2023-10-12
L000149,"Schmidt, Hansen and Stewart",Logistics,259.0,Partner,2025-02-15,3,False,4,4,False,
L000150,Salazar-Ball,healthcare,225.0,Event/Webinar,2026-03-11,2,False,2,3,True,2026-04-18
L000151,"Simmons, Meadows and Griffin",Logistics,,Event/Webinar,2023-01-01,3,False,3,5,True,2023-02-08
L000152,Manning Group,Manufacturing,93.0,Paid Search,2025-05-30,4,False,0,5,False,
L000153,Green-Wright,Consulting,7.0,Event/Webinar,2024-10-21,4,False,1,1,False,
L000154,"Ramirez, Strickland and Washington",Media,625.0,Outbound SDR,2025-06-24,4,False,2,3,True,2025-09-18
L000155,Hill Inc,Retail,55.0,Event/Webinar,2025-08-27,4,False,1,0,True,2025-09-17
L000156,"Mitchell, Nelson and Flores",FinTech,166.0,Referral,2025-11-21,6,False,2,4,False,
L000157,"Miller, Hernandez and Reyes",Consulting,,Referral,2023-07-11,2,False,2,4,False,
L000158,Mccarthy Inc,,29.0,Partner,2024-09-27,4,False,1,1,False,
L000159,Russell-Daniels,Retail,235.0,Paid Search,2023-10-29,2,False,0,6,False,
L000160,Brown-Wall,SaaS,97.0,Organic Search,2024-05-16,1,False,1,3,False,
L000161,Stein-Silva,Media,197.0,Event/Webinar,2023-05-30,3,False,3,4,True,2023-07-27
L000162,"Smith, Gilmore and Johnston",Logistics,66.0,Partner,2026-03-24,6,True,1,1,True,2026-04-17
L000163,Smith-Bell,Logistics,69.0,Outbound SDR,2025-03-29,2,False,0,1,False,
L000164,Castaneda-Ashley,Retail,62.0,Paid Search,2023-01-12,4,False,1,2,False,
L000165,Medina-Navarro,Fintech,,Outbound SDR,2024-03-24,3,False,1,5,False,
L000166,"Hurst, Freeman and Nelson",Healthcare,50.0,Partner,2025-11-26,2,False,1,3,False,
L000167,Johnson-Rogers,,76.0,Organic Search,2026-02-15,1,False,3,1,False,
L000168,"Yates, Ramsey and Pittman",Retail,115.0,Organic Search,2025-07-23,3,False,0,2,False,
L000169,Hooper PLC,,77.0,Outbound SDR,2025-12-23,2,True,1,6,True,2026-03-04
L000170,Meadows PLC,Consulting,65.0,Referral,2025-06-25,7,False,1,3,True,2025-09-11
L000171,"Alvarado, Miller and Patterson",Real Estate,28.0,Outbound SDR,2026-01-27,1,False,1,1,False,
L000172,White-Green,Media,286.0,Paid Search,2025-08-30,2,False,2,1,False,
L000173,Lewis-Murphy,Media,79.0,Referral,2024-05-21,2,True,1,0,False,
L000174,Ramirez-Bean,Manufacturing,10.0,Event/Webinar,2025-09-19,2,False,2,5,False,
L000175,King-Miller,Retail,21.0,Referral,2025-06-19,6,True,1,1,True,2025-06-28
L000176,Curry Inc,Manufacturing,96.0,Paid Search,2024-07-10,3,False,2,5,False,
L000177,Walker-Jones,Education,,Referral,2026-01-11,3,False,4,3,False,
L000178,"Williams, Johnson and Wright",financial tech,141.0,Paid Search,2023-11-05,4,False,0,4,False,
L000179,Howell and Sons,Retail,84.0,Outbound SDR,2023-11-09,5,True,4,5,True,2024-02-07
L000180,Wells Inc,Retail,346.0,organic-search,2025-04-29,2,False,2,2,False,
L000181,"Gould, Marshall and Scott",Logistics,282.0,Referral,2026-01-16,3,False,2,6,False,
L000182,Jackson-Lawson,,74.0,Outbound SDR,2023-05-08,2,False,0,4,False,
L000183,"Higgins, Strickland and Martin",Retail,,Outbound SDR,2025-03-08,3,True,1,3,True,2025-05-21
L000184,Rodriguez-Johnson,SAAS,64.0,Event/Webinar,2025-02-18,2,False,2,3,False,
L000185,Johnston-Odonnell,Media,781.0,Organic Search,2024-12-21,1,False,1,4,False,
L000186,Sanders-Espinoza,Manufacturing,87.0,Outbound SDR,2025-05-08,2,False,0,2,False,
L000187,Vargas Ltd,Real Estate,,Partner,2026-01-23,2,True,2,3,False,
L000188,Garcia LLC,Consulting,74.0,Paid Search,2025-09-26,4,False,1,2,True,2025-10-24
L000189,"Burke, Martinez and Riggs",Manufacturing,,Outbound SDR,2025-09-21,6,False,1,4,True,2025-09-24
L000190,Reed Group,Logistics,,Referral,2025-04-08,2,False,3,4,False,
L000191,"Wood, Hunter and Peterson",Healthcare,36.0,Outbound SDR,2023-09-19,4,False,1,3,True,2023-12-07
L000192,Short-Garcia,Real Estate,11.0,Organic Search,2025-03-17,2,False,1,2,False,
L000193,Reid-Poole,Consulting,1628.0,Event/Webinar,2023-02-25,1,False,3,4,True,2023-03-07
L000194,"Hernandez, Thompson and Boyd",Logistics,,Paid Search,2025-08-03,1,False,0,3,False,
L000195,"Nelson, Morton and Medina",Healthcare,109.0,Organic Search,2024-06-16,2,False,3,1,True,2024-08-03
L000196,Marshall-Petersen,Education,,Paid Search,2025-07-20,3,False,5,2,True,2025-08-30
L000197,"Adams, Christian and Rivas",Education,419.0,Outbound SDR,2024-07-23,2,False,2,3,False,
L000198,Ramirez Group,,133.0,Referral,2023-06-17,2,True,0,2,False,
L000199,Christensen PLC,Media,13.0,organic-search,2026-01-09,3,True,2,1,True,2026-01-15
L000200,"Barnett, Rogers and Snyder",Education,16.0,Paid Search,2026-08-24,1,False,3,7,False,
L000201,White-Lewis,FinTech,38.0,Partner,2023-03-24,3,False,6,4,True,2023-03-27
L000202,Peterson-Beard,Retail,534.0,Paid Search,2023-02-11,2,True,2,2,False,
L000203,"Beard, Peters and Black",Consulting,51.0,Paid Search,2024-05-03,2,False,1,4,False,
L000204,Miller Ltd,Healthcare,17.0,Outbound SDR,2023-08-23,6,False,1,2,False,
L000205,Freeman-Chang,Consulting,91.0,Paid Search,2025-08-10,2,True,0,5,False,
L000206,"Alvarez, Joseph and West",Manufacturing,34.0,Referral,2023-12-10,6,False,2,2,False,
L000207,Davis and Sons,Consulting,3.0,Event/Webinar,2023-08-23,5,False,0,4,True,2023-09-12
L000208,Holt-Torres,Manufacturing,206.0,Organic Search,2026-03-31,1,False,1,2,False,
L000209,"Wood, Tran and Cooper",SaaS,387.0,Referral,2026-03-25,4,True,2,6,True,2026-06-19
L000210,"Pierce, Bell and Chavez",Logistics,,Outbound SDR,2024-02-11,2,False,2,2,False,
L000211,King-Martinez,financial tech,56.0,Event/Webinar,2026-07-08,3,False,3,6,True,2026-07-23
L000212,Stewart Ltd,Fintech,152.0,Partner,2024-09-09,5,True,2,0,False,
L000213,"Tapia, Vaughn and Lee",Consulting,83.0,Organic Search,2026-03-05,4,False,0,4,False,
L000214,"Washington, Hardy and Bray",SAAS,27.0,Referral,2025-12-27,4,True,3,4,False,
L000215,"Carlson, Hooper and Wall",,97.0,Partner,2025-01-28,2,False,1,2,False,
L000216,Perez-White,Fintech,47.0,Event/Webinar,2026-08-19,3,False,4,2,False,
L000217,Erickson and Sons,Education,48.0,Organic Search ,2025-05-10,2,False,0,2,False,
L000218,Williams-Brown,Media,41.0,Organic Search,2025-06-06,3,True,1,4,True,2025-07-22
L000219,Terry-Martinez,Media,81.0,Partner,2023-11-10,1,False,2,0,False,
L000220,Garcia-Smith,Logistics,238.0,Paid Search,2025-12-04,3,False,3,4,False,
L000221,Harrison-Alexander,Manufacturing,,Event/Webinar,2026-01-07,2,False,1,4,False,
L000222,Sheppard LLC,Media,31.0,Outbound SDR,2025-06-11,4,False,1,4,True,2025-08-25
L000223,Wilson-Jones,Manufacturing,,Referral,2024-05-17,3,True,0,2,True,2024-05-28
L000224,Jones-Soto,Manufacturing,204.0,Outbound SDR,2024-05-14,2,False,5,4,True,2024-07-12
L000225,Hernandez PLC,,108.0,Event/Webinar,2025-02-15,3,False,3,3,False,
L000226,Miller-Wright,Education,46.0,Organic Search,2025-10-09,2,False,1,2,False,
L000227,"Duran, Obrien and Gibbs",Education,734.0,Paid Search,2025-09-25,2,True,0,5,True,2025-10-22
L000228,Rowe Group,Education,24.0,Referral,2024-11-28,4,False,2,5,False,
L000229,Kerr-Evans,Manufacturing,68.0,Event/Webinar,2024-07-19,3,False,4,3,False,
L000230,"Branch, Torres and Oliver",Real Estate,54.0,Organic Search,2025-11-24,2,False,2,1,True,2025-12-18
L000231,"Choi, Garcia and Farmer",Fintech,64.0,Paid Search,2025-04-12,2,True,2,1,True,2025-06-13
L000232,"Clark, Guerrero and Moore",Real Estate,306.0,Paid Search,2025-09-02,3,False,1,5,False,
L000233,Arnold and Sons,Media,60.0,Outbound SDR,2023-02-05,2,True,2,2,False,
L000234,Ortiz Ltd,Fintech,85.0,Referral,2024-03-29,5,True,5,3,False,
L000235,"Harrison, Johnson and Roberts",Logistics,80.0,Partner,2024-05-13,1,False,2,2,False,
L000236,Warner-Gibson,Manufacturing,,Partner,2026-04-06,3,False,1,2,True,2026-05-23
L000237,"Hall, Baker and Moody",Media,43.0,Event/Webinar,2025-12-23,4,True,2,3,False,
L000238,"Guerrero, Peck and Coleman",Education,481.0,Outbound SDR,2026-02-01,4,False,2,6,False,
L000239,"Walker, Hernandez and Baker",Education,843.0,Referral,2025-07-18,3,False,1,2,True,2025-08-21
L000240,Jones and Sons,Manufacturing,91.0,Referral,2024-04-17,3,False,2,3,False,
L000241,Larson-Holloway,Fintech,16.0,Partner,2024-01-30,2,False,0,6,True,2024-03-10
L000242,Gonzales-Harrison,Fintech,,Partner,2026-01-02,2,True,0,3,False,
L000243,Lyons-Bender,Healthcare,203.0,Paid Search,2024-03-19,7,False,0,2,False,
L000244,"Fernandez, Kim and George",Media,140.0,Referral,2026-04-22,4,False,0,0,False,
L000245,Navarro-Munoz,Real Estate,134.0,Event/Webinar,2024-08-02,3,True,3,8,True,2024-08-14
L000246,Davis Ltd,,33.0,Referral,2024-04-10,4,False,1,6,True,2024-05-26
L000247,"Matthews, Smith and Hubbard",Healthcare,,Referral,2023-01-29,5,False,3,3,False,
L000248,Johnston-Hines,Real Estate,,Paid Search,2024-07-15,3,False,5,2,False,
L000249,Ruiz Ltd,SaaS,143.0,Organic Search,2026-02-07,3,True,0,1,False,
L000250,Moon-White,Manufacturing,23.0,Partner,2023-09-16,4,True,2,5,True,2023-12-06
L000251,"Graham, Olsen and Costa",Media,135.0,Organic Search,2023-01-26,2,False,0,1,False,
L000252,Bailey-Cook,Consulting,49.0,Referral,2025-08-19,3,False,3,3,True,2025-10-19
L000253,"Garcia, Martin and Jenkins",Media,,Referral,2024-01-13,3,True,1,2,True,2024-01-19
L000254,Roberts-Landry,Manufacturing,9.0,Outbound SDR,2023-08-22,3,False,1,3,False,
L000255,"Johnson, Miller and King",Fintech,270.0,Outbound SDR,2025-10-04,1,False,2,8,True,2025-10-13
L000256,Cordova Group,Consulting,694.0,Partner,2023-04-20,4,False,1,2,True,2023-05-09
L000257,"Bryan, Smith and Booth",Healthcare,884.0,Event/Webinar,2024-09-14,3,False,2,2,True,2024-09-24
L000258,Gutierrez-Lopez,Retail,,Organic Search,2026-02-16,5,False,2,4,True,2026-04-10
L000259,Dean-Jimenez,Consulting,146.0,Event/Webinar,2026-06-20,2,True,4,2,True,2026-07-18
L000260,Wolf-Harris,Real Estate,29.0,Outbound SDR,2025-07-11,3,False,1,5,False,
L000261,"Anderson, Roberts and Gilmore",Media,43.0,Referral,2026-04-20,6,True,0,3,True,2026-06-13
L000262,Martinez-Dudley,,13.0,Event/Webinar,2026-06-25,1,False,0,2,False,
L000263,"Lloyd, Mckinney and Collins",SaaS,52.0,Event/Webinar,2023-07-23,2,False,1,3,True,2023-08-18
L000264,Tran Inc,Retail,101.0,Referral,2023-06-16,4,True,3,7,True,2023-07-06
L000265,Gay Inc,Retail,295.0,Paid Search,2026-02-04,4,True,1,4,False,
L000266,Valentine-Holland,Fintech,132.0,Paid Search,2023-01-06,3,False,1,7,True,2023-02-27
L000267,Jimenez Ltd,Media,192.0,Partner,2026-05-01,4,False,1,2,False,
L000268,Hicks-Hill,Media,390.0,Referral,2023-03-08,2,False,1,3,True,2023-04-06
L000269,Baird-Sanchez,Manufacturing,104.0,Partner,2024-08-02,6,False,3,0,False,
L000270,"Thomas, Lee and Greene",Media,77.0,Organic Search ,2024-04-23,3,False,0,1,False,
L000271,"Suarez, Shields and Hill",Manufacturing,98.0,Partner,2026-04-22,2,True,1,6,True,2026-07-15
L000272,Morgan-French,Retail,105.0,Outbound SDR,2023-08-24,2,False,1,4,False,
L000273,Hoover-Campbell,Real Estate,44.0,Paid Search,2026-08-19,2,False,2,4,True,2026-08-21
L000274,Monroe-Carpenter,Manufacturing,113.0,Paid Search,2023-05-27,2,False,1,4,False,
L000275,"Burns, Hernandez and Ryan",SaaS,123.0,Paid Search,2024-09-21,3,False,1,4,True,2024-12-06
L000276,Cook-Hines,Consulting,24.0,Referral,2025-06-18,4,False,0,2,False,
L000277,Gibson-Morris,Fintech,,Outbound SDR,2024-09-14,4,False,4,6,False,
L000278,Pollard and Sons,Logistics,380.0,Referral,2025-10-21,5,False,2,2,True,2025-12-29
L000279,"Reyes, Chase and Jenkins",Media,80.0,Outbound SDR,2023-06-14,5,False,1,1,False,
