subscription_id,account_id,plan,mrr,billing_frequency,contract_start_date,contract_end_date,status,churn_date
S000021,A000021,Growth,2592.58,Monthly,2024-08-05 21:58:04.474867,,Active,
S000022,A000022,Starter,279.31,Annual,2024-09-18 19:31:18.187388,2025-09-18 19:31:18.187388,Churned,2025-06-15 19:31:18.187388
S000023,A000023,Enterprise,6644.57,Annual,2025-08-01 02:08:50.987361,2026-08-01 02:08:50.987361,Active,
S000024,A000024,Starter,200.0,Annual,2025-10-21 17:08:27.237817,2026-10-21 17:08:27.237817,Active,
S000025,A000025,Growth,2616.18,Monthly,2024-05-23 23:40:37.840434,,Active,
S000026,A000026,Starter,300.46,Annual,2024-10-24 10:48:39.591604,2025-10-24 10:48:39.591604,Active,
S000027,A000027,Starter,200.0,Annual,2024-06-29 01:34:59.262721,2025-06-29 01:34:59.262721,Churned,2025-10-22 01:34:59.262721
S000028,A000028,Starter,200.0,Annual,2025-11-25 23:45:23.724817,2026-11-25 23:45:23.724817,Active,
S000029,A000029,Starter,206.32,Annual,2023-11-16 17:45:08.174729,2024-11-15 17:45:08.174729,Active,
S000030,A000030,Starter,200.0,Annual,2024-06-23 23:52:52.533218,2025-06-23 23:52:52.533218,Churned,2025-02-18 23:52:52.533218
S000031,A000031,Starter,594.47,Annual,2025-04-26 14:35:05.291074,2026-04-26 14:35:05.291074,Active,
S000032,A000032,Starter,428.92,Annual,2025-05-31 00:36:06.736712,2026-05-31 00:36:06.736712,Churned,2026-01-26 00:36:06.736712
S000033,A000033,Starter,417.08,Annual,2024-03-22 15:06:28.475013,2025-03-22 15:06:28.475013,Active,
S000034,A000034,Starter,479.6,Monthly,2024-11-01 12:35:27.481746,,Active,
S000035,A000035,Growth,3919.93,Annual,2024-11-28 03:12:17.870613,2025-11-28 03:12:17.870613,Active,
S000036,A000036,Starter,955.75,Annual,2026-09-10 22:16:06.019381,2027-09-10 22:16:06.019381,Active,
S000037,A000037,Starter,545.68,Annual,2025-03-02 06:00:14.196583,2026-03-02 06:00:14.196583,Active,
S000038,A000038,Growth,4463.62,Annual,2025-04-29 14:22:06.971223,2026-04-29 14:22:06.971223,Active,
S000039,A000039,Growth,1581.42,Monthly,2023-12-29 13:46:33.226987,,Churned,2024-03-28 13:46:33.226987
S000040,A000040,Growth,2235.94,Annual,2024-07-24 04:27:41.933470,2025-07-24 04:27:41.933470,Active,
S000041,A000041,Starter,1221.78,Annual,2023-12-09 11:35:08.470250,2024-12-08 11:35:08.470250,Active,
S000042,A000042,Enterprise,9023.51,Annual,2024-08-08 22:40:48.839131,2025-08-08 22:40:48.839131,Active,
S000043,A000043,Enterprise,7948.27,Annual,2024-02-18 01:22:35.295307,2025-02-17 01:22:35.295307,Active,
S000044,A000044,Starter,1226.71,Monthly,2023-10-09 10:19:45.718293,,Active,
S000045,A000045,Starter,1288.07,Annual,2025-10-16 03:47:35.883086,2026-10-16 03:47:35.883086,Active,
S000046,A000046,Enterprise,7295.41,Annual,2024-12-08 06:08:57.154727,2025-12-08 06:08:57.154727,Active,
S000047,A000047,Growth,1253.2,Annual,2024-05-12 21:59:22.574217,2025-05-12 21:59:22.574217,Churned,2025-03-08 21:59:22.574217
S000048,A000048,Starter,0.0,Monthly,2023-08-31 09:39:01.508682,,Active,
S000049,A000049,Growth,2970.94,Annual,2023-10-14 17:05:00.524589,2024-10-13 17:05:00.524589,Active,
S000050,A000050,Growth,1304.39,Annual,2026-09-12 04:57:42.041089,2027-09-12 04:57:42.041089,Active,
S000051,A000051,Growth,1263.56,Annual,2024-05-28 08:03:29.741135,2025-05-28 08:03:29.741135,Active,
S000052,A000052,Growth,1189.58,Monthly,2024-03-25 11:22:05.283164,,Active,
S000053,A000053,Growth,3055.83,Annual,2023-10-22 13:08:08.451942,2024-10-21 13:08:08.451942,Churned,2024-05-19 13:08:08.451942
S000054,A000054,Starter,1146.99,Monthly,2025-05-27 12:17:47.753400,,Active,
S000055,A000055,Starter,200.0,Monthly,2023-05-22 15:45:54.120726,,Active,
S000056,A000056,Starter,728.93,Monthly,2024-12-12 05:57:30.762702,,Active,
S000057,A000057,Growth,1626.4,Monthly,2024-05-22 11:40:33.924888,,Active,
S000058,A000058,Growth,2537.98,Annual,2025-10-07 11:33:50.012233,2026-10-07 11:33:50.012233,Active,
S000059,A000059,Growth,2683.25,Annual,2025-09-15 07:41:31.123071,2026-09-15 07:41:31.123071,Active,
S000060,A000060,Starter,200.0,Monthly,2024-04-07 12:07:06.333458,,Active,
S000061,A000061,Growth,3204.95,Annual,2024-09-21 18:08:21.400692,2025-09-21 18:08:21.400692,Active,
S000062,A000062,Growth,1581.69,Monthly,2026-05-30 08:23:26.475014,,Active,
S000063,A000063,Starter,1055.69,Monthly,2025-04-28 22:00:11.832584,,Active,
S000064,A000064,Growth,1545.77,Annual,2026-07-24 12:27:51.224129,2027-07-24 12:27:51.224129,Active,
S000065,A000065,Starter,1056.95,Monthly,2023-06-28 16:03:06.404359,,Active,
S000066,A000066,Growth,1549.84,Annual,2026-02-24 16:02:56.322628,2027-02-24 16:02:56.322628,Active,
S000067,A000067,Starter,864.41,Annual,2024-07-21 07:53:56.042637,2025-07-21 07:53:56.042637,Active,
S000068,A000068,Starter,789.87,Monthly,2026-08-08 12:53:49.821292,,Active,
S000069,A000069,Growth,2882.27,Annual,2023-12-13 07:41:24.044933,2024-12-12 07:41:24.044933,Active,
S000070,A000070,Growth,2970.11,Annual,2024-03-27 20:06:00.519496,2025-03-27 20:06:00.519496,Active,
S000071,A000071,Starter,549.6,Monthly,2026-07-29 20:03:56.831453,,Active,
S000072,A000072,Growth,2544.78,Annual,2026-07-05 02:59:15.468794,2027-07-05 02:59:15.468794,Active,
S000073,A000073,Starter,200.0,Monthly,2026-03-06 00:45:10.151051,,Churned,2026-08-03 00:45:10.151051
S000074,A000074,Growth,1407.98,Annual,2024-02-25 01:27:15.159709,2025-02-24 01:27:15.159709,Churned,2025-01-20 01:27:15.159709
S000075,A000075,Growth,1899.54,Monthly,2024-05-19 14:40:07.303765,,Active,
S000076,A000076,Starter,200.0,Annual,2024-05-05 07:17:34.249889,2025-05-05 07:17:34.249889,Churned,2024-10-02 07:17:34.249889
S000077,A000077,Growth,1966.2,Monthly,2026-08-07 12:14:14.117790,,Active,
S000078,A000078,Enterprise,8862.93,Annual,2023-07-26 03:23:15.830571,2024-07-25 03:23:15.830571,Active,
S000079,A000079,Starter,357.94,Annual,2025-01-27 12:06:12.273811,2026-01-27 12:06:12.273811,Churned,2025-05-27 12:06:12.273811
S000080,A000080,Starter,394.08,Monthly,2026-07-02 11:05:43.374592,,Active,
S000081,A000081,Enterprise,4954.1,Annual,2024-08-01 16:19:20.695993,2025-08-01 16:19:20.695993,Active,
S000082,A000082,Starter,415.31,Annual,2024-01-20 01:44:27.938909,2025-01-19 01:44:27.938909,Active,
S000083,A000083,Starter,1136.23,Annual,2025-05-07 14:35:13.179311,2026-05-07 14:35:13.179311,Active,
S000084,A000084,Growth,1648.44,Monthly,2025-09-01 10:32:48.694070,,Active,
S000085,A000085,Starter,718.28,Annual,2025-11-30 10:02:26.307017,2026-11-30 10:02:26.307017,Active,
S000086,A000086,Starter,1319.27,Annual,2025-07-13 17:22:34.504442,2026-07-13 17:22:34.504442,Active,
S000087,A000087,Starter,975.77,Annual,2024-01-01 23:12:29.115381,2024-12-31 23:12:29.115381,Active,
S000088,A000088,Starter,436.19,Annual,2025-09-20 01:08:38.410883,2026-09-20 01:08:38.410883,Active,
S000089,A000089,Growth,5131.19,Annual,2024-02-29 12:45:51.014451,2025-02-28 12:45:51.014451,Active,
S000090,A000090,Starter,391.97,Monthly,2026-06-24 00:42:23.654289,,Active,
S000091,A000091,Starter,890.79,Annual,2024-05-31 07:36:01.066411,2025-05-31 07:36:01.066411,Active,
S000092,A000092,Growth,1789.46,Monthly,2025-09-19 04:44:12.583421,,Active,
S000093,A000093,Starter,650.75,Annual,2024-08-25 05:46:55.150742,2025-08-25 05:46:55.150742,Active,
S000094,A000094,Growth,2605.72,Monthly,2023-11-08 09:27:30.479052,,Churned,2025-01-31 09:27:30.479052
S000095,A000095,Starter,708.4,Monthly,2026-07-26 15:21:40.843183,,Active,
S000096,A000096,Growth,1860.45,Annual,2025-01-29 15:24:48.475557,2026-01-29 15:24:48.475557,Active,
S000097,A000097,Growth,1980.97,Annual,2025-07-01 05:55:02.017884,2026-07-01 05:55:02.017884,Active,
S000098,A000098,Growth,1611.32,Monthly,2026-01-12 03:57:48.196638,,Churned,2026-05-12 03:57:48.196638
S000099,A000099,Growth,1584.09,Annual,2024-10-05 23:59:44.955274,2025-10-05 23:59:44.955274,Active,
S000100,A000100,Growth,2334.36,Annual,2024-08-30 02:19:10.681687,2025-08-30 02:19:10.681687,Active,
S000101,A000101,Starter,329.45,Annual,2025-12-02 21:30:35.720165,2026-12-02 21:30:35.720165,Active,
S000102,A000102,Starter,974.43,Annual,2025-08-30 20:32:45.182182,2026-08-30 20:32:45.182182,Active,
S000103,A000103,Growth,1338.35,Annual,2025-04-01 01:12:00.561201,2026-04-01 01:12:00.561201,Churned,2025-06-30 01:12:00.561201
S000104,A000104,Starter,852.97,Monthly,2025-08-09 19:39:53.934213,,Active,
S000105,A000105,Starter,387.54,Monthly,2023-11-19 07:54:24.631004,,Churned,2024-02-17 07:54:24.631004
S000106,A000106,Growth,2235.32,Annual,2023-11-07 06:34:48.034217,2024-11-06 06:34:48.034217,Active,
S000107,A000107,Growth,3063.61,Annual,2026-06-21 17:33:50.159269,2027-06-21 17:33:50.159269,Active,
S000108,A000108,Growth,2061.72,Monthly,2025-06-23 19:23:01.402988,,Churned,2026-07-18 19:23:01.402988
S000109,A000109,Starter,248.51,Annual,2026-04-01 06:57:17.848363,2027-04-01 06:57:17.848363,Active,
S000110,A000110,Starter,418.98,Annual,2025-04-23 06:40:06.959104,2026-04-23 06:40:06.959104,Churned,2025-07-22 06:40:06.959104
S000111,A000111,Starter,581.74,Monthly,2024-06-08 08:46:41.349069,,Active,
S000112,A000112,Growth,1538.02,Annual,2026-06-08 12:54:51.985333,2027-06-08 12:54:51.985333,Active,
S000113,A000113,Starter,205.21,Annual,2026-03-01 05:55:43.727663,2027-03-01 05:55:43.727663,Active,
S000114,A000114,Growth,2647.18,Monthly,2026-05-07 18:51:28.458037,,Active,
S000115,A000115,Growth,3608.16,Annual,2025-02-01 11:44:52.802299,2026-02-01 11:44:52.802299,Active,
S000116,A000116,Growth,2126.43,Monthly,2025-05-03 05:28:37.276864,,Active,
S000117,A000117,Starter,257.69,Annual,2026-06-10 20:03:03.323493,2027-06-10 20:03:03.323493,Active,
S000118,A000118,Growth,4171.8,Monthly,2026-02-11 06:38:44.218155,,Active,
S000119,A000119,Growth,1742.19,Annual,2026-09-08 13:39:03.482753,2027-09-08 13:39:03.482753,Active,
S000120,A000120,Enterprise,5438.27,Annual,2023-12-30 16:27:25.294593,2024-12-29 16:27:25.294593,Active,
S000121,A000121,Starter,349.88,Annual,2025-07-02 07:02:06.445625,2026-07-02 07:02:06.445625,Active,
S000122,A000122,Growth,2715.05,Annual,2026-07-21 15:24:21.049253,2027-07-21 15:24:21.049253,Active,
S000123,A000123,Growth,2322.66,Annual,2023-11-21 09:37:14.459281,2024-11-20 09:37:14.459281,Churned,2024-07-18 09:37:14.459281
S000124,A000124,Starter,488.2,Annual,2024-08-12 13:22:47.633438,2025-08-12 13:22:47.633438,Churned,2025-06-08 13:22:47.633438
S000125,A000125,Starter,580.23,Monthly,2023-10-30 22:00:56.892458,,Active,
S000126,A000126,Growth,1396.87,Annual,2024-02-03 07:33:02.020938,2025-02-02 07:33:02.020938,Churned,2025-06-27 07:33:02.020938
S000127,A000127,Growth,1655.62,Monthly,2023-11-13 12:19:54.193650,,Churned,2024-09-08 12:19:54.193650
S000128,A000128,Growth,0.0,Annual,2025-09-09 22:20:04.756238,2026-09-09 22:20:04.756238,Churned,2025-12-08 22:20:04.756238
S000129,A000129,Growth,2959.5,Monthly,2024-01-06 12:25:33.146064,,Active,
S000130,A000130,Starter,0.0,Annual,2024-06-30 14:39:25.716446,2025-06-30 14:39:25.716446,Churned,2025-04-26 14:39:25.716446
S000131,A000131,Starter,213.16,Annual,2026-04-15 15:50:25.681560,2027-04-15 15:50:25.681560,Active,
S000132,A000132,Starter,427.18,Annual,2025-05-16 12:01:53.419069,2026-05-16 12:01:53.419069,Active,
S000133,A000133,Starter,638.08,Monthly,2023-10-02 01:29:19.039808,,Active,
S000134,A000134,Starter,1151.01,Annual,2023-10-22 13:33:09.042431,2024-10-21 13:33:09.042431,Churned,2025-01-14 13:33:09.042431
S000135,A000135,Growth,3631.02,Monthly,2024-01-25 01:06:45.714545,,Churned,2024-12-20 01:06:45.714545
S000136,A000136,Starter,1049.19,Annual,2023-10-20 17:24:03.222280,2024-10-19 17:24:03.222280,Active,
S000137,A000137,Starter,0.0,Monthly,2024-07-23 08:16:24.002291,,Active,
S000138,A000138,Growth,3278.81,Monthly,2026-01-02 02:27:16.414084,,Active,
S000139,A000139,Starter,1065.08,Monthly,2025-03-25 13:09:09.044362,,Churned,2025-12-20 13:09:09.044362
S000140,A000140,Growth,3353.5,Annual,2025-07-03 14:51:20.335210,2026-07-03 14:51:20.335210,Active,
S000141,A000141,Growth,1660.89,Monthly,2023-10-01 11:37:30.729540,,Active,
S000142,A000142,Starter,731.7,Annual,2025-06-21 04:50:57.130175,2026-06-21 04:50:57.130175,Active,
S000143,A000143,Growth,1244.93,Annual,2024-11-15 03:19:26.753401,2025-11-15 03:19:26.753401,Active,
S000144,A000144,Starter,473.9,Monthly,2023-10-13 04:58:48.527124,,Active,
S000145,A000145,Growth,1646.3,Monthly,2025-10-19 05:47:04.954915,,Active,
S000146,A000146,Starter,435.11,Monthly,2026-09-14 03:31:25.204904,,Active,
S000147,A000147,Growth,1908.41,Annual,2026-01-19 16:58:12.332354,2027-01-19 16:58:12.332354,Active,
S000148,A000148,Starter,297.29,Annual,2025-08-27 01:47:57.484024,2026-08-27 01:47:57.484024,Active,
S000149,A000149,Starter,756.48,Annual,2026-03-16 18:54:05.261459,2027-03-16 18:54:05.261459,Active,
S000150,A000150,Growth,1865.38,Monthly,2025-11-17 03:30:24.779961,,Active,
S000151,A000151,Growth,2553.75,Annual,2024-10-19 17:46:28.808913,2025-10-19 17:46:28.808913,Active,
S000152,A000152,Starter,673.56,Monthly,2025-04-30 10:18:48.332557,,Active,
S000153,A000153,Starter,1016.74,Annual,2024-06-12 12:24:20.030943,2025-06-12 12:24:20.030943,Churned,2025-06-07 12:24:20.030943
S000154,A000154,Growth,2125.01,Annual,2024-11-16 21:01:16.422500,2025-11-16 21:01:16.422500,Active,
S000155,A000155,Starter,245.7,Annual,2023-11-11 17:41:36.280859,2024-11-10 17:41:36.280859,Active,
S000156,A000156,Growth,1605.69,Annual,2023-03-09 06:48:38.993542,2024-03-08 06:48:38.993542,Active,
S000157,A000157,Growth,2241.64,Annual,2025-04-01 04:19:15.459146,2026-04-01 04:19:15.459146,Active,
S000158,A000158,Growth,1366.94,Annual,2026-06-01 21:54:35.892116,2027-06-01 21:54:35.892116,Active,
S000159,A000159,Growth,1447.4,Annual,2025-12-27 04:19:30.660623,2026-12-27 04:19:30.660623,Churned,2026-03-27 04:19:30.660623
S000160,A000160,Starter,685.59,Annual,2023-05-05 02:39:54.027969,2024-05-04 02:39:54.027969,Active,
S000161,A000161,Starter,634.58,Annual,2025-05-11 22:51:28.727660,2026-05-11 22:51:28.727660,Active,
S000162,A000162,Starter,1122.43,Monthly,2024-10-28 19:22:38.874140,,Churned,2025-12-22 19:22:38.874140
S000163,A000163,Growth,3157.03,Monthly,2023-05-11 22:34:04.006403,,Churned,2024-03-06 22:34:04.006403
S000164,A000164,Starter,294.94,Annual,2026-02-25 03:55:51.711191,2027-02-25 03:55:51.711191,Active,
S000165,A000165,Growth,2341.26,Monthly,2025-07-01 14:31:37.012852,,Active,
S000166,A000166,Starter,443.52,Annual,2025-04-02 06:43:43.452586,2026-04-02 06:43:43.452586,Churned,2026-02-26 06:43:43.452586
S000167,A000167,Growth,4426.67,Monthly,2025-01-06 17:07:39.717123,,Active,
S000168,A000168,Growth,2098.56,Annual,2023-10-23 16:06:47.461942,2024-10-22 16:06:47.461942,Active,
S000169,A000169,Starter,613.13,Annual,2025-12-09 15:09:23.044899,2026-12-09 15:09:23.044899,Active,
S000170,A000170,Growth,1360.25,Monthly,2023-10-20 21:13:46.434662,,Churned,2024-05-17 21:13:46.434662
S000171,A000171,Starter,574.92,Annual,2024-07-12 00:04:19.333186,2025-07-12 00:04:19.333186,Active,
S000172,A000172,Starter,485.84,Monthly,2024-10-21 15:34:55.575164,,Churned,2025-06-18 15:34:55.575164
S000173,A000173,Starter,436.7,Annual,2026-03-21 16:34:03.150683,2027-03-21 16:34:03.150683,Active,
S000174,A000174,Growth,4031.0,Monthly,2026-05-10 19:45:10.272973,,Active,
S000175,A000175,Growth,3130.03,Annual,2023-07-21 16:04:10.670410,2024-07-20 16:04:10.670410,Active,
S000176,A000176,Starter,989.85,Annual,2026-04-01 06:23:29.049657,2027-04-01 06:23:29.049657,Churned,2026-08-29 06:23:29.049657
S000177,A000177,Starter,321.56,Annual,2026-06-30 03:43:48.150905,2027-06-30 03:43:48.150905,Active,
S000178,A000178,Starter,381.07,Annual,2026-09-01 02:34:59.209573,2027-09-01 02:34:59.209573,Active,
S000179,A000179,Starter,811.04,Monthly,2025-03-14 23:57:42.214893,,Churned,2025-10-10 23:57:42.214893
S000180,A000180,Enterprise,5375.86,Monthly,2025-10-15 10:49:36.882607,,Active,
S000181,A000181,Growth,1304.29,Monthly,2025-05-12 07:02:23.500422,,Active,
S000182,A000182,Starter,414.21,Annual,2024-04-28 05:57:19.547331,2025-04-28 05:57:19.547331,Active,
S000183,A000183,Starter,780.94,Monthly,2025-10-11 02:17:55.529948,,Active,
S000184,A000184,Growth,1284.01,Monthly,2023-11-27 18:02:13.638939,,Active,
S000185,A000185,Enterprise,5335.34,Monthly,2026-08-04 12:44:05.683137,,Active,
S000186,A000186,Starter,993.75,Monthly,2026-02-05 19:11:22.727810,,Active,
S000187,A000187,Growth,1834.08,Monthly,2026-01-05 16:03:15.700163,,Active,
S000188,A000188,Growth,3951.96,Annual,2024-11-11 07:05:54.382636,2025-11-11 07:05:54.382636,Active,
S000189,A000189,Enterprise,8152.43,Monthly,2023-06-23 04:51:52.583865,,Active,
S000190,A000190,Growth,2954.78,Annual,2023-12-27 16:54:05.364160,2024-12-26 16:54:05.364160,Churned,2024-04-25 16:54:05.364160
S000191,A000191,Growth,4772.48,Monthly,2025-12-02 07:33:09.052742,,Active,
S000192,A000192,Starter,0.0,Annual,2023-08-23 02:05:40.994137,2024-08-22 02:05:40.994137,Active,
S000193,A000193,Growth,2087.19,Annual,2024-08-12 04:32:50.125773,2025-08-12 04:32:50.125773,Active,
S000194,A000194,Starter,912.53,Annual,2025-05-05 07:29:32.096188,2026-05-05 07:29:32.096188,Active,
S000195,A000195,Starter,1312.53,Monthly,2025-05-07 19:16:38.479940,,Active,
S000196,A000196,Starter,491.75,Monthly,2023-12-09 14:55:51.078336,,Active,
S000197,A000197,Starter,519.15,Annual,2025-04-02 02:24:41.063275,2026-04-02 02:24:41.063275,Churned,2026-01-27 02:24:41.063275
S000198,A000198,Enterprise,16077.04,Monthly,2026-03-22 13:00:16.455837,,Active,
S000199,A000199,Growth,1901.21,Annual,2026-08-07 09:58:01.680808,2027-08-07 09:58:01.680808,Active,
S000200,A000200,Growth,1882.45,Annual,2025-06-22 14:24:22.696149,2026-06-22 14:24:22.696149,Active,
S000201,A000201,Growth,2371.12,Annual,2023-06-11 07:31:06.932941,2024-06-10 07:31:06.932941,Active,
S000202,A000202,Growth,1475.84,Monthly,2025-08-06 11:05:31.163167,,Churned,2026-03-04 11:05:31.163167
S000203,A000203,Growth,4394.55,Annual,2023-07-09 21:25:01.370402,2024-07-08 21:25:01.370402,Active,
S000204,A000204,Enterprise,9574.99,Annual,2024-06-04 18:43:51.001512,2025-06-04 18:43:51.001512,Active,
S000205,A000205,Starter,332.18,Annual,2025-01-04 17:06:53.072048,2026-01-04 17:06:53.072048,Active,
S000206,A000206,Growth,2063.3,Monthly,2024-11-09 19:27:22.830403,,Active,
S000207,A000207,Starter,263.27,Annual,2024-05-01 02:49:53.358535,2025-05-01 02:49:53.358535,Active,
S000208,A000208,Starter,568.51,Annual,2025-08-21 17:02:41.341490,2026-08-21 17:02:41.341490,Active,
S000209,A000209,Growth,2335.05,Annual,2025-07-09 06:35:35.131764,2026-07-09 06:35:35.131764,Active,
S000210,A000210,Growth,4008.24,Monthly,2023-07-10 13:37:59.734617,,Active,
S000211,A000211,Growth,3289.2,Annual,2024-02-11 03:27:28.068559,2025-02-10 03:27:28.068559,Churned,2024-06-10 03:27:28.068559
S000212,A000212,Enterprise,8021.36,Monthly,2026-05-19 16:34:54.423711,,Active,
S000213,A000213,Growth,3382.3,Annual,2024-01-13 00:20:01.057262,2025-01-12 00:20:01.057262,Active,
S000214,A000214,Growth,4448.42,Annual,2026-02-17 11:49:36.244354,2027-02-17 11:49:36.244354,Active,
S000215,A000215,Enterprise,6945.14,Monthly,2024-05-04 00:28:45.543238,,Active,
S000216,A000216,Starter,523.89,Annual,2024-05-14 08:25:45.989529,2025-05-14 08:25:45.989529,Active,
S000217,A000217,Growth,1195.15,Annual,2024-06-02 17:51:43.890827,2025-06-02 17:51:43.890827,Churned,2024-09-30 17:51:43.890827
S000218,A000218,Growth,3585.59,Annual,2023-07-21 11:43:59.503060,2024-07-20 11:43:59.503060,Churned,2024-09-13 11:43:59.503060
S000219,A000219,Growth,1180.55,Annual,2023-08-29 13:56:24.470790,2024-08-28 13:56:24.470790,Active,
S000220,A000220,Growth,1499.38,Annual,2025-10-12 22:30:58.056318,2026-10-12 22:30:58.056318,Churned,2026-07-09 22:30:58.056318
S000221,A000221,Starter,1134.28,Monthly,2024-01-15 17:30:38.660343,,Churned,2024-07-13 17:30:38.660343
S000222,A000222,Starter,287.61,Annual,2025-09-27 19:17:56.109895,2026-09-27 19:17:56.109895,Active,
S000223,A000223,Starter,862.09,Annual,2026-04-16 04:22:00.459120,2027-04-16 04:22:00.459120,Active,
S000224,A000224,Growth,1844.51,Annual,2026-03-13 17:13:35.637261,2027-03-13 17:13:35.637261,Active,
S000225,A000225,Starter,741.34,Monthly,2024-05-20 02:08:35.806523,,Active,
S000226,A000226,Growth,1760.63,Annual,2026-06-28 04:58:32.703508,2027-06-28 04:58:32.703508,Active,
S000227,A000227,Starter,1130.87,Annual,2024-04-09 16:41:28.595361,2025-04-09 16:41:28.595361,Active,
S000228,A000228,Starter,699.36,Monthly,2025-02-27 19:24:12.484463,,Active,
S000229,A000229,Starter,859.06,Annual,2025-05-29 22:04:59.583308,2026-05-29 22:04:59.583308,Active,
S000230,A000230,Growth,4271.16,Monthly,2024-04-09 01:52:21.759735,,Active,
S000231,A000231,Growth,2945.92,Annual,2026-06-19 19:29:05.214386,2027-06-19 19:29:05.214386,Active,
S000232,A000232,Starter,1072.7,Annual,2024-02-02 01:23:20.808622,2025-02-01 01:23:20.808622,Churned,2024-07-31 01:23:20.808622
S000233,A000233,Starter,614.82,Monthly,2024-02-10 10:30:42.043081,,Churned,2025-07-04 10:30:42.043081
S000234,A000234,Starter,704.8,Annual,2024-01-22 01:55:40.960114,2025-01-21 01:55:40.960114,Active,
S000235,A000235,Growth,3228.85,Monthly,2025-03-26 05:10:18.442707,,Active,
S000236,A000236,Starter,486.7,Annual,2026-08-09 21:59:05.608991,2027-08-09 21:59:05.608991,Active,
S000237,A000237,Starter,1292.54,Annual,2024-05-12 17:31:58.689260,2025-05-12 17:31:58.689260,Churned,2025-02-06 17:31:58.689260
S000238,A000238,Starter,269.43,Monthly,2025-01-01 14:29:07.738430,,Active,
S000239,A000239,Growth,1532.63,Monthly,2026-02-15 07:20:07.984363,,Active,
S000240,A000240,Starter,411.11,Annual,2024-10-16 19:42:36.117162,2025-10-16 19:42:36.117162,Active,
S000241,A000241,Starter,298.34,Annual,2026-04-07 20:33:27.856012,2027-04-07 20:33:27.856012,Active,
S000242,A000242,Starter,0.0,Monthly,2023-08-14 09:19:04.367412,,Active,
S000243,A000243,Starter,303.86,Monthly,2023-11-29 19:24:45.287758,,Churned,2024-10-24 19:24:45.287758
S000244,A000244,Growth,1286.52,Annual,2025-04-10 01:27:56.647170,2026-04-10 01:27:56.647170,Active,
S000245,A000245,Growth,2769.47,Monthly,2025-06-23 02:48:13.350750,,Active,
S000246,A000246,Starter,468.98,Annual,2026-06-03 17:18:27.492243,2027-06-03 17:18:27.492243,Active,
S000247,A000247,Starter,1286.44,Annual,2026-05-09 02:45:49.571495,2027-05-09 02:45:49.571495,Active,
S000248,A000248,Starter,633.57,Monthly,2026-01-12 10:30:42.853729,,Active,
S000249,A000249,Growth,2921.3,Annual,2023-09-04 10:56:05.456084,2024-09-03 10:56:05.456084,Active,
S000250,A000250,Starter,670.98,Monthly,2026-07-09 20:31:15.237022,,Active,
S000251,A000251,Growth,2043.16,Monthly,2024-07-24 12:19:16.199025,,Churned,2025-08-18 12:19:16.199025
S000252,A000252,Starter,269.33,Annual,2025-12-03 15:45:21.979164,2026-12-03 15:45:21.979164,Active,
S000253,A000253,Starter,595.14,Monthly,2023-04-21 20:00:49.959873,,Churned,2024-04-15 20:00:49.959873
S000254,A000254,Enterprise,5168.95,Monthly,2024-08-14 17:36:20.035116,,Active,
