account_id,opp_id,company_name,account_tier,initial_deal_size,signup_date
A000056,O000223,Robles-Swanson,SMB,7993,2024-12-12 05:57:30.762702
A000057,O000228,Stevens PLC,Mid-Market,21070,2024-05-22 11:40:33.924888
A000058,O000232,Love-Garcia,Mid-Market,31896,2025-10-07 11:33:50.012233
A000059,O000235,"Rodgers, Jefferson and Johnson",Mid-Market,31805,2025-09-15 07:41:31.123071
A000060,O000236,Osborn Group,SMB,2216,2024-04-07 12:07:06.333458
A000061,O000237,Lopez-Curry,Mid-Market,42884,2024-09-21 18:08:21.400692
A000062,O000241,Higgins-Smith,Mid-Market,21349,2026-05-30 08:23:26.475014
A000063,O000248,Andersen Group,SMB,12570,2025-04-28 22:00:11.832584
A000064,O000249,Mitchell and Sons,Mid-Market,19833,2026-07-24 12:27:51.224129
A000065,O000252,"Gray, Hall and Murray",SMB,12754,2023-06-28 16:03:06.404359
A000066,O000258,"Thomas, Ford and Brown",Mid-Market,16376,2026-02-24 16:02:56.322628
A000067,O000262,Giles Ltd,SMB,9547,2024-07-21 07:53:56.042637
A000068,O000265,"Morris, Campbell and Owens",SMB,10839,2026-08-08 12:53:49.821292
A000069,O000267,Owens-Lang,Mid-Market,38562,2023-12-13 07:41:24.044933
A000070,O000277,Adams-Sanders,Mid-Market,33402,2024-03-27 20:06:00.519496
A000071,O000287,Smith LLC,SMB,6522,2026-07-29 20:03:56.831453
A000072,O000293,Taylor Inc,Mid-Market,29588,2026-07-05 02:59:15.468794
A000073,O000294,Ewing-Mendoza,SMB,2614,2026-03-06 00:45:10.151051
A000074,O000297,"Burgess, Grant and Watts",Mid-Market,18621,2024-02-25 01:27:15.159709
A000075,O000303,"Marsh, Spears and Yang",Mid-Market,21412,2024-05-19 14:40:07.303765
A000076,O000308,Lopez-Reid,SMB,1363,2024-05-05 07:17:34.249889
A000077,O000315,Martin-Taylor,Mid-Market,20565,2026-08-07 12:14:14.117790
A000078,O000318,Sellers-Riddle,Enterprise,107061,2023-07-26 03:23:15.830571
A000079,O000319,"Morris, Wright and Bridges",SMB,4286,2025-01-27 12:06:12.273811
A000080,O000329,Williams Ltd,SMB,5560,2026-07-02 11:05:43.374592
A000081,O000334,Bishop and Sons,Enterprise,69612,2024-08-01 16:19:20.695993
A000082,O000336,"Hernandez, Jenkins and Parks",SMB,4864,2024-01-20 01:44:27.938909
A000083,O000339,Wright Ltd,SMB,13917,2025-05-07 14:35:13.179311
A000084,O000343,Harris-Lawson,Mid-Market,19547,2025-09-01 10:32:48.694070
A000085,O000347,Matthews Inc,SMB,9059,2025-11-30 10:02:26.307017
A000086,O000350,"Yang, Wilson and Zimmerman",SMB,14436,2025-07-13 17:22:34.504442
A000087,O000354,Mora-White,SMB,10858,2024-01-01 23:12:29.115381
A000088,O000356,Shaw Inc,SMB,6129,2025-09-20 01:08:38.410883
A000089,O000363,Haynes-Watson,Mid-Market,58476,2024-02-29 12:45:51.014451
A000090,O000369,Martinez Inc,SMB,5297,2026-06-24 00:42:23.654289
A000091,O000373,Underwood-Foster,SMB,12387,2024-05-31 07:36:01.066411
A000092,O000374,Castillo-Harrington,Mid-Market,22608,2025-09-19 04:44:12.583421
A000093,O000381,Yu-Brooks,SMB,7015,2024-08-25 05:46:55.150742
A000094,O000382,"Foster, Garcia and Turner",Mid-Market,35462,2023-11-08 09:27:30.479052
A000095,O000391,"Larsen, Hernandez and Ward",SMB,7416,2026-07-26 15:21:40.843183
A000096,O000393,Watson Group,Mid-Market,24883,2025-01-29 15:24:48.475557
A000097,O000394,Marshall-Perez,Mid-Market,25242,2025-07-01 05:55:02.017884
A000098,O000396,Flowers LLC,Mid-Market,19929,2026-01-12 03:57:48.196638
A000099,O000400,Humphrey-Baker,Mid-Market,19111,2024-10-05 23:59:44.955274
A000100,O000407,Hill Group,Mid-Market,32475,2024-08-30 02:19:10.681687
A000101,O000416,Guerrero-Becker,SMB,3800,2025-12-02 21:30:35.720165
A000102,O000420,Fisher-Eaton,SMB,10173,2025-08-30 20:32:45.182182
A000103,O000428,Wise-Dean,Mid-Market,17327,2025-04-01 01:12:00.561201
A000104,O000435,White-Morales,SMB,9016,2025-08-09 19:39:53.934213
A000105,O000439,Clay Group,SMB,5247,2023-11-19 07:54:24.631004
A000106,O000440,"Marks, Stone and Watts",Mid-Market,25012,2023-11-07 06:34:48.034217
A000107,O000441,Alvarado-Davidson,Mid-Market,35466,2026-06-21 17:33:50.159269
A000108,O000446,Petersen PLC,Mid-Market,25584,2025-06-23 19:23:01.402988
A000109,O000455,"Valencia, Joseph and Walls",SMB,3131,2026-04-01 06:57:17.848363
A000110,O000464,"Baker, Martin and Singleton",SMB,5368,2025-04-23 06:40:06.959104
A000111,O000465,Bowers LLC,SMB,6618,2024-06-08 08:46:41.349069
A000112,O000471,Russell-Hayes,Mid-Market,20413,2026-06-08 12:54:51.985333
A000113,O000472,"Wilson, Smith and Cortez",SMB,2547,2026-03-01 05:55:43.727663
A000114,O000473,Haynes Inc,Mid-Market,33654,2026-05-07 18:51:28.458037
A000115,O000476,Taylor Group,Mid-Market,40683,2025-02-01 11:44:52.802299
A000116,O000482,Wilkinson and Sons,Mid-Market,25583,2025-05-03 05:28:37.276864
A000117,O000484,Hammond-Lewis,SMB,3216,2026-06-10 20:03:03.323493
A000118,O000485,Arnold PLC,Mid-Market,46225,2026-02-11 06:38:44.218155
A000119,O000488,Williams-Juarez,Mid-Market,20499,2026-09-08 13:39:03.482753
A000120,O000489,Williams and Sons,Enterprise,67802,2023-12-30 16:27:25.294593
A000121,O000493,Martin-Jones,SMB,4878,2025-07-02 07:02:06.445625
A000122,O000494,"Campbell, Hernandez and Moore",Mid-Market,34110,2026-07-21 15:24:21.049253
A000123,O000496,"Whitaker, Johnson and Williams",Mid-Market,29045,2023-11-21 09:37:14.459281
A000124,O000497,"Thomas, Jackson and Nielsen",SMB,5849,2024-08-12 13:22:47.633438
A000125,O000502,Jackson-Jennings,SMB,6350,2023-10-30 22:00:56.892458
A000126,O000503,"Barnes, Hernandez and Davis",Mid-Market,15959,2024-02-03 07:33:02.020938
A000127,O000511,"Sanders, Harris and Arnold",Mid-Market,22515,2023-11-13 12:19:54.193650
A000128,O000524,"Melton, Henry and Joyce",Mid-Market,32109,2025-09-09 22:20:04.756238
A000129,O000526,"Clark, Carpenter and Nguyen",Mid-Market,40799,2024-01-06 12:25:33.146064
A000130,O000529,"Hernandez, Shaffer and Thompson",SMB,13069,2024-06-30 14:39:25.716446
A000131,O000530,"Holmes, Le and Floyd",SMB,2438,2026-04-15 15:50:25.681560
A000132,O000534,Davidson LLC,SMB,5974,2025-05-16 12:01:53.419069
A000133,O000543,Harper-Robles,SMB,8056,2023-10-02 01:29:19.039808
A000134,O000544,Wright-Espinoza,SMB,13518,2023-10-22 13:33:09.042431
A000135,O000548,"Patel, Adams and Lopez",Mid-Market,43682,2024-01-25 01:06:45.714545
A000136,O000551,Flores and Sons,SMB,12672,2023-10-20 17:24:03.222280
A000137,O000556,Huang LLC,SMB,10358,2024-07-23 08:16:24.002291
A000138,O000558,"Wright, Wise and Ramos",Mid-Market,36453,2026-01-02 02:27:16.414084
A000139,O000560,"Robinson, Rodriguez and Chen",SMB,11865,2025-03-25 13:09:09.044362
A000140,O000564,Washington Group,Mid-Market,43639,2025-07-03 14:51:20.335210
A000141,O000568,Rodriguez-Mills,Mid-Market,20278,2023-10-01 11:37:30.729540
A000142,O000570,"Ray, Craig and Park",SMB,7886,2025-06-21 04:50:57.130175
A000143,O000574,Foley Inc,Mid-Market,16660,2024-11-15 03:19:26.753401
A000144,O000576,"Cunningham, Murphy and Wolfe",SMB,6360,2023-10-13 04:58:48.527124
A000145,O000581,Hanson-Alexander,Mid-Market,21611,2025-10-19 05:47:04.954915
A000146,O000591,"Anderson, Delgado and Carpenter",SMB,4866,2026-09-14 03:31:25.204904
A000147,O000594,Stewart PLC,Mid-Market,20453,2026-01-19 16:58:12.332354
A000148,O000596,Shaw PLC,SMB,3147,2025-08-27 01:47:57.484024
A000149,O000600,"Liu, Buchanan and Meyer",SMB,9316,2026-03-16 18:54:05.261459
A000150,O000604,Gallegos-Hayes,Mid-Market,21222,2025-11-17 03:30:24.779961
A000151,O000605,Wilson Group,Mid-Market,28234,2024-10-19 17:46:28.808913
A000152,O000607,Tate LLC,SMB,8842,2025-04-30 10:18:48.332557
A000153,O000610,Dean LLC,SMB,11434,2024-06-12 12:24:20.030943
A000154,O000614,Williams Group,Mid-Market,22989,2024-11-16 21:01:16.422500
A000155,O000623,Crawford and Sons,SMB,2649,2023-11-11 17:41:36.280859
A000156,O000625,Warren and Sons,Mid-Market,17338,2023-03-09 06:48:38.993542
A000157,O000626,Brooks Inc,Mid-Market,26702,2025-04-01 04:19:15.459146
A000158,O000628,"Russo, Collins and Murphy",Mid-Market,16290,2026-06-01 21:54:35.892116
A000159,O000633,Hill-Flores,Mid-Market,19409,2025-12-27 04:19:30.660623
A000160,O000635,Hill Inc,SMB,7875,2023-05-05 02:39:54.027969
A000161,O000638,Edwards-Roth,SMB,8133,2025-05-11 22:51:28.727660
A000162,O000641,Campbell LLC,SMB,12716,2024-10-28 19:22:38.874140
A000163,O000644,Patel-Morales,Mid-Market,35400,2023-05-11 22:34:04.006403
A000164,O000645,Peterson Ltd,SMB,3883,2026-02-25 03:55:51.711191
A000165,O000649,"Brown, Robinson and Taylor",Mid-Market,25472,2025-07-01 14:31:37.012852
A000166,O000650,Hudson-Gentry,SMB,6126,2025-04-02 06:43:43.452586
A000167,O000651,Young Ltd,Mid-Market,53015,2025-01-06 17:07:39.717123
A000168,O000654,May Group,Mid-Market,22514,2023-10-23 16:06:47.461942
A000169,O000655,Lane Ltd,SMB,7515,2025-12-09 15:09:23.044899
A000170,O000658,"Simon, Terrell and Terrell",Mid-Market,15052,2023-10-20 21:13:46.434662
A000171,O000659,Marshall-Miller,SMB,7067,2024-07-12 00:04:19.333186
A000172,O000660,"Davis, Kennedy and Harmon",SMB,6571,2024-10-21 15:34:55.575164
A000173,O000661,"Osborne, Harrison and Hunt",SMB,6006,2026-03-21 16:34:03.150683
A000174,O000664,York LLC,Mid-Market,50415,2026-05-10 19:45:10.272973
A000175,O000665,Smith-Rodriguez,Mid-Market,33113,2023-07-21 16:04:10.670410
A000176,O000666,Kent Ltd,SMB,12278,2026-04-01 06:23:29.049657
A000177,O000669,May Inc,SMB,3408,2026-06-30 03:43:48.150905
A000178,O000670,Roberts Group,SMB,5288,2026-09-01 02:34:59.209573
A000179,O000672,"Garrison, Rogers and Adams",SMB,9577,2025-03-14 23:57:42.214893
A000180,O000677,Decker Inc,Enterprise,62191,2025-10-15 10:49:36.882607
A000181,O000682,Price-Ferrell,Mid-Market,18214,2025-05-12 07:02:23.500422
A000182,O000697,Butler-Aguirre,SMB,4591,2024-04-28 05:57:19.547331
A000183,O000702,"Trujillo, Chang and Williams",SMB,10020,2025-10-11 02:17:55.529948
A000184,O000708,Hood-Ramirez,Mid-Market,17083,2023-11-27 18:02:13.638939
A000185,O000711,Baird-Williams,Enterprise,61857,2026-08-04 12:44:05.683137
A000186,O000716,"Silva, Bray and Ford",SMB,12321,2026-02-05 19:11:22.727810
A000187,O000717,Sawyer Group,Mid-Market,20603,2026-01-05 16:03:15.700163
A000188,O000719,"Marshall, Schultz and Dalton",Mid-Market,41781,2024-11-11 07:05:54.382636
A000189,O000720,Schmidt-Phillips,Enterprise,100868,2023-06-23 04:51:52.583865
A000190,O000721,"Norton, French and Miller",Mid-Market,35095,2023-12-27 16:54:05.364160
A000191,O000724,Castro and Sons,Mid-Market,57571,2025-12-02 07:33:09.052742
A000192,O000731,Watson PLC,SMB,8708,2023-08-23 02:05:40.994137
A000193,O000735,"Wilson, Johnson and Williamson",Mid-Market,22937,2024-08-12 04:32:50.125773
A000194,O000741,Houston PLC,SMB,11122,2025-05-05 07:29:32.096188
A000195,O000745,"Kennedy, Valdez and Stafford",SMB,14210,2025-05-07 19:16:38.479940
A000196,O000746,White-Knox,SMB,5259,2023-12-09 14:55:51.078336
A000197,O000748,"Quinn, Smith and Green",SMB,6110,2025-04-02 02:24:41.063275
A000198,O000752,Smith PLC,Enterprise,173901,2026-03-22 13:00:16.455837
A000199,O000753,Pope PLC,Mid-Market,25806,2026-08-07 09:58:01.680808
A000200,O000760,Richardson-Lawrence,Mid-Market,23324,2025-06-22 14:24:22.696149
A000201,O000761,Zavala-Coleman,Mid-Market,25651,2023-06-11 07:31:06.932941
A000202,O000764,Lopez-Jones,Mid-Market,19115,2025-08-06 11:05:31.163167
A000203,O000771,Tate Inc,Mid-Market,55680,2023-07-09 21:25:01.370402
A000204,O000776,Freeman-Rodriguez,Enterprise,134893,2024-06-04 18:43:51.001512
A000205,O000777,Alvarez-Dickerson,SMB,4364,2025-01-04 17:06:53.072048
A000206,O000779,Flores-Johnson,Mid-Market,22069,2024-11-09 19:27:22.830403
A000207,O000782,Watkins-Lozano,SMB,3670,2024-05-01 02:49:53.358535
A000208,O000783,Melton Inc,SMB,6941,2025-08-21 17:02:41.341490
A000209,O000797,Murphy-Silva,Mid-Market,25474,2025-07-09 06:35:35.131764
A000210,O000809,Jackson-Bradley,Mid-Market,48553,2023-07-10 13:37:59.734617
A000211,O000810,"Lewis, Holloway and Acosta",Mid-Market,36611,2024-02-11 03:27:28.068559
A000212,O000811,Hawkins Inc,Enterprise,108568,2026-05-19 16:34:54.423711
A000213,O000812,"Harvey, Turner and Foster",Mid-Market,38457,2024-01-13 00:20:01.057262
A000214,O000813,Anderson-Mcclain,Mid-Market,53982,2026-02-17 11:49:36.244354
A000215,O000822,Oneill and Sons,Enterprise,92793,2024-05-04 00:28:45.543238
A000216,O000825,Fox PLC,SMB,5710,2024-05-14 08:25:45.989529
A000217,O000827,Maldonado-Becker,Mid-Market,16593,2024-06-02 17:51:43.890827
A000218,O000830,"Smith, Booker and Douglas",Mid-Market,40379,2023-07-21 11:43:59.503060
A000219,O000832,Yates-Manning,Mid-Market,15690,2023-08-29 13:56:24.470790
A000220,O000833,"Crane, James and Ross",Mid-Market,16385,2025-10-12 22:30:58.056318
A000221,O000840,"Miller, Mcdonald and Miller",SMB,12171,2024-01-15 17:30:38.660343
A000222,O000841,Carroll-Arnold,SMB,3711,2025-09-27 19:17:56.109895
A000223,O000849,Clark Ltd,SMB,10336,2026-04-16 04:22:00.459120
A000224,O000850,"Garrison, Ryan and Miller",Mid-Market,22410,2026-03-13 17:13:35.637261
A000225,O000851,Martin and Sons,SMB,9223,2024-05-20 02:08:35.806523
A000226,O000852,Richards-Harris,Mid-Market,19864,2026-06-28 04:58:32.703508
A000227,O000854,Henderson LLC,SMB,14737,2024-04-09 16:41:28.595361
A000228,O000856,"Reed, Terry and Smith",SMB,9290,2025-02-27 19:24:12.484463
A000229,O000858,"Mcdonald, Ware and Sharp",SMB,11231,2025-05-29 22:04:59.583308
A000230,O000863,Rhodes-Thompson,Mid-Market,55520,2024-04-09 01:52:21.759735
A000231,O000868,Sanchez Group,Mid-Market,32769,2026-06-19 19:29:05.214386
A000232,O000872,"Norton, Cox and Johnson",SMB,12658,2024-02-02 01:23:20.808622
A000233,O000875,West PLC,SMB,6907,2024-02-10 10:30:42.043081
A000234,O000876,"Smith, Morgan and Young",SMB,8768,2024-01-22 01:55:40.960114
A000235,O000878,"Wade, Richard and Hall",Mid-Market,39029,2025-03-26 05:10:18.442707
A000236,O000887,"Nguyen, Marsh and Beck",SMB,5434,2026-08-09 21:59:05.608991
A000237,O000891,"Todd, Bernard and Boyd",SMB,13973,2024-05-12 17:31:58.689260
A000238,O000894,White Inc,SMB,3647,2025-01-01 14:29:07.738430
A000239,O000901,"Hayes, Smith and Marshall",Mid-Market,16171,2026-02-15 07:20:07.984363
A000240,O000902,Nelson-King,SMB,5135,2024-10-16 19:42:36.117162
A000241,O000914,Lee-Velasquez,SMB,3245,2026-04-07 20:33:27.856012
A000242,O000918,Ward-Blake,SMB,5147,2023-08-14 09:19:04.367412
A000243,O000919,Stewart-Myers,SMB,4052,2023-11-29 19:24:45.287758
A000244,O000921,Mooney and Sons,Mid-Market,16987,2025-04-10 01:27:56.647170
A000245,O000922,"Coleman, Jones and Wright",Mid-Market,34197,2025-06-23 02:48:13.350750
A000246,O000925,Patton Inc,SMB,5679,2026-06-03 17:18:27.492243
A000247,O000926,"Williams, Horn and Morales",SMB,14200,2026-05-09 02:45:49.571495
A000248,O000927,Hobbs-Harvey,SMB,8357,2026-01-12 10:30:42.853729
A000249,O000931,Davidson and Sons,Mid-Market,34048,2023-09-04 10:56:05.456084
A000250,O000933,Steele Group,SMB,7748,2026-07-09 20:31:15.237022
A000251,O000936,"Wilson, Roberts and Lee",Mid-Market,26784,2024-07-24 12:19:16.199025
A000252,O000939,Decker and Sons,SMB,3386,2025-12-03 15:45:21.979164
A000253,O000944,"Brooks, Neal and Baldwin",SMB,8268,2023-04-21 20:00:49.959873
A000254,O000950,"Daniels, Green and Carrillo",Enterprise,70094,2024-08-14 17:36:20.035116
A000255,O000952,Bautista-Underwood,Mid-Market,36494,2025-08-27 12:22:28.154466
A000256,O000954,Carrillo-Wolfe,SMB,7419,2023-07-27 19:55:01.726952
A000257,O000955,Gonzales PLC,Mid-Market,37671,2025-08-07 07:35:36.676286
A000258,O000969,Brown-Ross,SMB,6553,2026-06-20 16:59:57.647220
A000259,O000972,Hale-Williams,Mid-Market,52769,2023-11-11 20:32:52.124833
A000260,O000976,Jackson Inc,SMB,4150,2025-02-05 09:24:39.499310
A000261,O000977,Howard-Robinson,SMB,1524,2026-04-20 08:49:31.281746
A000262,O000979,Ramos Inc,Mid-Market,53133,2026-08-18 23:53:06.994764
A000263,O000985,Smith-Lewis,Mid-Market,20042,2023-11-19 21:04:26.399543
A000264,O000986,Turner-George,SMB,8714,2025-10-21 01:49:17.847300
A000265,O000987,King Inc,Mid-Market,20800,2025-12-17 04:31:55.085208
A000266,O000990,Smith-Barr,Mid-Market,18200,2025-06-05 12:18:42.377175
A000267,O000996,Thompson-Wright,SMB,2290,2026-01-17 22:23:27.059424
A000268,O000998,Gray-Ruiz,Mid-Market,26431,2026-07-13 23:37:18.998300
A000269,O001000,Blake LLC,SMB,14039,2024-12-13 11:06:07.968070
A000270,O001001,"Medina, Tran and Thompson",SMB,10960,2025-10-06 06:15:18.471085
A000271,O001005,Ortiz Inc,Mid-Market,25199,2026-03-16 16:18:48.068650
A000272,O001007,"Richardson, Brown and Cruz",Mid-Market,19109,2025-10-03 23:41:16.428124
A000273,O001013,Woods Ltd,SMB,6597,2025-04-10 06:02:09.401001
A000274,O001030,"Richardson, Castaneda and Finley",Mid-Market,19955,2026-05-11 21:57:20.298947
A000275,O001034,Hood-Porter,SMB,7746,2025-06-13 18:05:40.553378
A000276,O001037,Ritter PLC,Mid-Market,38583,2025-09-27 11:55:41.455442
A000277,O001038,"Acosta, Campbell and Leblanc",Mid-Market,25723,2025-04-06 19:56:02.777163
A000278,O001039,Ellis-Martin,SMB,5112,2023-08-22 05:10:13.123059
A000279,O001048,"Lopez, Hess and Smith",SMB,6768,2023-08-31 22:43:03.419936
A000280,O001049,Stone PLC,Mid-Market,21025,2026-06-10 11:23:02.760304
A000281,O001051,Sheppard Inc,Mid-Market,18922,2026-05-21 03:58:21.919510
A000282,O001056,Turner PLC,Mid-Market,16858,2026-05-17 06:06:02.413006
A000283,O001071,"Faulkner, Schmidt and Wheeler",Mid-Market,59507,2026-08-30 10:18:04.861587
A000284,O001093,Jordan-Harper,Mid-Market,50709,2024-12-18 01:12:28.491866
A000285,O001102,Wright-Jacobson,Mid-Market,42200,2024-12-04 20:23:02.057202
A000286,O001122,Adams-Perkins,SMB,2384,2023-11-29 11:05:02.199267
A000287,O001123,Roth Ltd,Mid-Market,56711,2026-05-06 12:44:54.956477
A000288,O001124,Ramsey and Sons,Mid-Market,21581,2023-05-20 19:41:52.995505
A000289,O001127,Daniels LLC,SMB,6471,2025-07-28 10:21:41.320081
A000290,O001128,Ochoa-Parker,SMB,5006,2024-04-19 04:14:34.338618
A000291,O001133,Jones-Cook,SMB,2730,2024-11-15 13:57:45.491399
A000292,O001135,Moreno-Greene,SMB,9723,2024-05-24 22:54:39.154021
A000293,O001139,Reyes PLC,SMB,10754,2025-08-06 19:43:34.854113
A000294,O001145,Johnson LLC,Mid-Market,44619,2023-08-19 08:20:32.870369
A000295,O001154,Morrison-Bradford,SMB,14340,2024-05-13 06:50:45.602672
A000296,O001159,Benjamin-Porter,Mid-Market,42283,2024-09-19 07:24:30.474016
A000297,O001164,"Black, Chandler and Curtis",SMB,9913,2024-09-27 01:54:19.301480
A000298,O001174,Gonzalez-Murphy,Mid-Market,39277,2025-11-14 07:59:55.667031
A000299,O001187,Harding-Mathews,Mid-Market,50074,2023-10-16 10:59:05.470511
A000300,O001192,Banks PLC,SMB,8127,2024-03-03 12:30:22.938793
A000301,O001205,Barber Group,Mid-Market,19713,2025-12-03 14:57:03.809388
A000302,O001208,Schultz-Hayes,SMB,9515,2024-02-14 19:49:25.267728
A000303,O001209,White Inc,SMB,8692,2026-02-21 15:21:24.036395
A000304,O001210,"Bond, Wilson and Cooper",SMB,13537,2026-07-05 20:36:37.396110
A000305,O001218,"Murphy, Marshall and Pope",Mid-Market,22880,2024-01-22 09:29:52.859825
A000306,O001225,"Travis, Buck and Mitchell",SMB,10117,2026-01-27 16:25:12.504725
A000307,O001238,"Snyder, Hamilton and Maldonado",SMB,9545,2023-08-04 21:39:47.998958
A000308,O001239,"Wright, Rodriguez and Wilson",Mid-Market,45211,2026-06-25 02:38:12.700742
A000309,O001240,Johnston and Sons,Mid-Market,15626,2026-05-17 20:28:54.230694
A000310,O001247,Carey LLC,SMB,2100,2023-12-28 20:20:12.563343
A000311,O001248,"Smith, Irwin and Chase",SMB,5160,2024-10-30 23:57:56.898325
A000312,O001255,"Moore, Miller and Nelson",Mid-Market,26270,2024-07-16 11:33:31.480933
A000313,O001261,Martinez-Daniels,Mid-Market,34401,2025-08-29 06:53:07.764550
A000314,O001265,Shaffer PLC,Mid-Market,27340,2024-07-10 01:52:16.460051
A000315,O001272,"White, Erickson and Hunter",Enterprise,157175,2024-09-13 19:01:22.219931
A000316,O001273,"Bailey, Williamson and Powell",Mid-Market,28351,2026-01-18 02:32:11.287035
A000317,O001275,Johnson Ltd,Mid-Market,32968,2025-09-08 09:01:57.998095
A000318,O001276,Cervantes-Stokes,Mid-Market,43661,2025-09-03 17:28:59.270233
A000319,O001284,Taylor PLC,Mid-Market,32246,2024-12-25 23:30:08.427563
A000320,O001286,George-Salazar,SMB,11414,2024-02-29 12:51:16.706660
A000321,O001287,Johnson PLC,SMB,3761,2026-06-17 21:06:55.709198
A000322,O001295,"Sanchez, Orozco and Flores",SMB,7210,2026-08-05 18:26:49.275841
