ticket_id,account_id,opened_date,severity,resolved,resolution_time_days
T000261,A000033,2026-06-19 23:47:27.697404,Low,True,4.7
T000262,A000033,2024-08-20 06:36:17.762636,Medium,False,
T000263,A000033,2026-08-01 14:11:22.994719,Medium,True,4.1
T000264,A000033,2025-02-13 02:39:21.408462,Low,True,3.7
T000265,A000033,2026-01-27 20:00:44.602778,Low,True,2.4
T000266,A000033,2026-03-25 09:11:13.970004,Medium,True,9.7
T000267,A000033,2024-09-11 08:06:45.690738,High,True,4.5
T000268,A000033,2024-05-30 13:11:56.707609,Low,True,1.8
T000269,A000033,2025-05-08 02:30:55.210304,Low,True,8.3
T000270,A000033,2025-11-08 09:55:35.386061,Low,True,0.4
T000271,A000033,2026-06-07 22:08:19.836164,Low,True,6.8
T000272,A000033,2025-10-16 14:42:53.630569,,True,1.0
T000273,A000034,2026-03-12 18:20:13.438555,,True,3.9
T000274,A000034,2026-04-05 23:49:12.351802,,True,2.3
T000275,A000034,2025-05-21 19:41:28.412491,Low,True,2.1
T000276,A000034,2025-07-22 04:39:30.983202,,True,0.7
T000277,A000034,2026-05-01 13:08:56.886575,Low,False,
T000278,A000034,2026-07-26 16:49:24.895659,Low,True,1.4
T000279,A000034,2026-02-21 15:23:18.184911,High,True,9.0
T000280,A000034,2025-03-05 19:32:56.123233,Medium,True,7.3
T000281,A000034,2025-12-12 20:40:12.625088,Low,True,1.2
T000282,A000034,2026-02-20 23:37:16.669554,,True,3.6
T000283,A000034,2025-07-02 12:19:08.001548,Low,True,0.9
T000284,A000034,2026-07-05 08:41:31.743207,Low,True,2.9
T000285,A000035,2025-12-24 23:50:17.257751,Low,True,3.0
T000286,A000035,2025-11-10 02:56:38.194415,Medium,True,6.9
T000287,A000035,2025-07-25 12:04:02.385963,,True,7.8
T000288,A000035,2025-10-16 17:47:48.259601,,True,5.2
T000289,A000035,2024-12-16 04:18:15.537581,,True,2.8
T000290,A000035,2025-08-18 19:17:04.409317,High,True,1.8
T000291,A000035,2025-05-14 13:53:44.914199,Low,True,5.7
T000292,A000035,2025-07-09 10:09:14.226875,Medium,True,4.0
T000293,A000035,2026-01-19 22:18:14.309065,Medium,True,9.2
T000294,A000037,2025-05-26 10:20:51.966185,,True,7.2
T000295,A000037,2025-06-03 07:02:11.325828,Low,True,3.8
T000296,A000037,2026-03-20 08:57:53.244667,Medium,True,4.9
T000297,A000037,2025-07-24 09:51:17.401412,Low,True,2.9
T000298,A000037,2026-08-08 08:03:20.438958,Medium,True,2.6
T000299,A000037,2025-11-26 20:30:45.798582,Medium,True,2.6
T000300,A000037,2025-03-18 04:17:52.624104,,True,2.1
T000301,A000038,2026-06-20 16:10:45.616860,Low,False,
T000302,A000038,2025-08-03 22:40:15.851807,High,True,0.9
T000303,A000038,2026-05-05 16:12:33.433823,Medium,True,1.5
T000304,A000038,2025-09-26 02:26:25.777344,High,True,1.6
T000305,A000038,2026-06-02 23:26:10.117397,Medium,True,3.2
T000306,A000038,2026-03-26 15:27:54.630852,Medium,True,10.2
T000307,A000039,2024-02-23 10:50:16.402866,Medium,True,4.8
T000308,A000039,2024-02-23 21:51:23.748363,Medium,False,
T000309,A000039,2024-02-19 00:03:37.983017,,False,
T000310,A000040,2025-01-08 09:26:13.988310,Low,True,2.1
T000311,A000040,2025-05-04 01:46:10.602004,,False,
T000312,A000040,2026-08-29 13:34:20.762408,Medium,True,0.3
T000313,A000040,2024-12-09 14:05:08.482929,Low,True,1.2
T000314,A000040,2025-07-30 17:05:37.228133,High,True,13.8
T000315,A000040,2024-10-09 17:00:01.714284,Low,True,1.4
T000316,A000040,2026-05-04 02:01:10.308542,Low,False,
T000317,A000040,2025-08-23 06:16:16.467695,Medium,True,2.8
T000318,A000040,2024-12-20 13:47:07.496898,Medium,True,5.3
T000319,A000040,2025-12-13 01:48:51.654584,High,True,0.8
T000320,A000041,2026-08-28 05:36:51.577141,Low,True,7.6
T000321,A000041,2025-12-05 13:25:03.655853,Low,True,0.2
T000322,A000041,2024-01-09 02:14:23.770259,Low,True,5.2
T000323,A000041,2026-03-02 03:53:45.604110,Low,True,2.8
T000324,A000041,2025-09-08 14:57:17.325126,,True,2.0
T000325,A000041,2025-12-16 06:03:47.349163,,True,3.3
T000326,A000041,2026-04-29 05:34:26.887433,Medium,True,5.5
T000327,A000041,2026-08-27 19:39:28.963645,Low,True,1.4
T000328,A000041,2026-07-30 10:23:50.252437,Low,True,3.3
T000329,A000041,2024-04-15 19:43:58.795543,Low,True,3.1
T000330,A000041,2024-12-18 08:12:23.742922,Low,True,2.8
T000331,A000042,2026-06-16 19:04:20.453377,Low,True,4.6
T000332,A000042,2024-12-10 21:04:55.834145,Medium,True,1.4
T000333,A000042,2026-04-20 18:01:11.969358,Medium,True,1.5
T000334,A000042,2025-08-03 04:31:51.011020,Medium,True,1.2
T000335,A000042,2025-05-25 05:22:55.285944,Low,True,4.8
T000336,A000043,2024-08-26 08:36:43.770678,Medium,True,3.2
T000337,A000043,2026-07-22 13:27:42.202560,Medium,True,2.4
T000338,A000043,2026-01-10 20:55:55.477016,Medium,True,3.5
T000339,A000043,2025-05-12 17:45:26.874735,Low,True,6.5
T000340,A000043,2024-09-16 15:21:32.486043,Low,True,9.1
T000341,A000043,2024-03-16 11:35:58.017319,Medium,True,1.2
T000342,A000043,2025-05-20 23:55:35.347929,Low,True,10.3
T000343,A000043,2025-08-30 10:53:09.606510,Low,True,3.9
T000344,A000043,2024-02-22 19:23:28.096468,,True,7.2
T000345,A000043,2025-10-16 04:47:51.679487,High,True,3.0
T000346,A000043,2025-02-09 18:07:42.572227,High,True,7.4
T000347,A000044,2025-03-03 11:44:13.365093,Medium,True,4.0
T000348,A000044,2026-07-10 06:26:23.936094,Medium,True,2.3
T000349,A000044,2025-03-22 07:35:41.304496,High,True,3.6
T000350,A000044,2026-03-05 14:53:02.543760,Low,True,2.4
T000351,A000044,2026-03-09 23:57:49.631186,Medium,True,4.4
T000352,A000044,2024-03-14 10:52:05.774772,High,True,2.8
T000353,A000044,2024-01-14 17:40:48.100599,High,True,1.2
T000354,A000044,2025-10-12 10:41:09.251258,Low,True,0.7
T000355,A000044,2025-02-02 00:53:55.532661,Low,True,4.2
T000356,A000044,2025-12-15 21:03:12.128217,High,True,0.7
T000357,A000044,2024-02-11 23:02:35.355067,High,False,
T000358,A000044,2025-06-09 08:34:22.410664,Low,True,0.8
T000359,A000044,2026-04-11 17:41:11.214205,Low,True,0.7
T000360,A000044,2023-12-06 16:59:10.161790,Low,True,1.4
T000361,A000044,2024-08-15 16:11:19.437565,Medium,True,7.9
T000362,A000045,2025-11-30 00:47:39.270678,Medium,True,7.2
T000363,A000045,2026-05-07 16:30:27.462779,High,False,
T000364,A000045,2026-05-23 16:09:49.092462,High,True,7.2
T000365,A000045,2026-04-12 07:22:01.801301,High,True,4.1
T000366,A000045,2026-02-03 05:40:15.275465,Medium,True,3.7
T000367,A000045,2026-07-28 13:03:50.270259,Medium,True,1.4
T000368,A000045,2026-05-13 03:36:57.854555,Medium,True,4.3
T000369,A000045,2026-06-27 10:33:37.416951,High,False,
T000370,A000045,2026-07-07 13:58:13.852809,High,False,
T000371,A000045,2026-07-07 23:06:46.270995,Medium,False,
T000372,A000045,2026-08-24 22:22:06.927155,High,True,2.9
T000373,A000045,2026-07-03 08:45:23.189669,Medium,True,1.5
T000374,A000045,2026-05-09 16:33:37.425732,Low,True,3.3
T000375,A000045,2026-07-22 16:20:41.797951,High,True,4.6
T000376,A000045,2026-02-17 01:27:55.479272,Low,False,
T000377,A000046,2026-01-27 08:58:18.240015,Medium,True,2.9
T000378,A000046,2025-06-27 09:52:43.355510,Medium,True,5.2
T000379,A000046,2026-08-25 23:37:52.986958,Medium,True,3.3
T000380,A000046,2025-02-20 20:55:39.116845,High,True,4.6
T000381,A000046,2025-06-15 05:30:40.483504,Low,True,2.7
T000382,A000046,2025-05-15 16:59:08.489341,Low,False,
T000383,A000046,2026-05-07 06:20:45.334369,Low,True,2.2
T000384,A000046,2025-01-27 12:33:01.262748,Medium,True,1.0
T000385,A000046,2025-10-31 14:23:59.029331,Medium,True,2.9
T000386,A000046,2026-02-06 06:31:43.108189,Low,True,0.8
T000387,A000046,2025-07-08 14:11:09.469477,Low,True,10.8
T000388,A000047,2024-12-30 02:04:38.343095,High,True,3.6
T000389,A000047,2025-01-23 05:31:18.109414,Low,False,
T000390,A000047,2024-11-17 16:43:00.210383,Low,True,10.4
T000391,A000047,2025-01-26 18:27:37.381231,Low,True,0.3
T000392,A000047,2024-10-24 03:52:35.957865,High,True,4.1
T000393,A000047,2024-11-28 23:18:27.928464,Medium,True,1.6
T000394,A000047,2025-01-06 18:17:17.703489,Low,True,0.1
T000395,A000047,2024-10-14 21:27:33.609045,High,True,13.2
T000396,A000047,2025-02-23 09:44:47.426627,Medium,True,8.4
T000397,A000047,2024-12-24 04:17:40.385985,High,False,
T000398,A000047,2025-02-06 20:40:43.387744,Medium,True,7.3
T000399,A000048,2024-08-25 07:49:08.733945,Medium,True,8.8
T000400,A000048,2024-07-08 00:12:21.578879,Low,True,3.0
T000401,A000048,2023-09-11 09:26:57.205278,Medium,True,3.2
T000402,A000048,2026-02-08 18:15:09.104451,Low,True,6.2
T000403,A000048,2026-07-13 07:54:05.510371,Medium,True,1.4
T000404,A000048,2024-01-27 22:50:21.483589,Medium,False,
T000405,A000048,2025-06-11 10:51:16.903594,Low,True,3.7
T000406,A000048,2025-02-25 07:30:38.652157,Low,True,4.7
T000407,A000048,2024-07-02 23:57:08.305622,,True,6.2
T000408,A000048,2024-10-05 19:03:36.722888,Low,True,3.8
T000409,A000048,2024-01-27 02:17:24.822796,Medium,False,
T000410,A000048,2023-11-10 08:49:04.122631,,False,
T000411,A000048,2023-09-23 08:06:59.995267,Low,True,7.4
T000412,A000048,2024-10-19 03:21:24.549251,Medium,True,1.9
T000413,A000048,2024-11-07 03:03:09.223920,Low,True,1.5
T000414,A000049,2025-03-22 23:01:42.652551,Medium,False,
T000415,A000049,2023-11-26 18:23:45.244686,,True,2.7
T000416,A000049,2024-10-06 08:56:21.602983,Medium,True,4.8
T000417,A000049,2024-12-23 21:32:43.539900,Medium,False,
T000418,A000049,2024-09-18 03:12:45.812265,High,True,0.3
T000419,A000049,2024-01-29 15:53:33.287720,High,True,2.1
T000420,A000049,2025-03-13 03:00:43.257946,Medium,True,11.0
T000421,A000049,2025-07-16 07:36:07.986949,Low,True,1.9
T000422,A000049,2025-11-27 17:44:12.605869,Low,True,3.8
T000423,A000049,2024-08-28 19:58:35.927294,Low,True,4.8
T000424,A000051,2024-06-03 00:40:08.755801,Medium,True,6.8
T000425,A000051,2026-04-30 19:14:54.012450,Medium,True,0.6
T000426,A000051,2024-10-04 23:25:30.846730,Medium,True,2.1
T000427,A000051,2025-01-02 12:12:58.775873,High,False,
T000428,A000051,2025-08-28 22:07:15.792288,,False,
