account_id,opp_id,company_name,account_tier,initial_deal_size,signup_date,subscription_id,plan,mrr,billing_frequency,contract_start_date,contract_end_date,status,churn_date,churn_probability,risk_tier,expansion_score,recommendation,recommended_action
A000010,O000049,Cortez LLC,SMB,14316,2024-06-12 01:34:41.840869,S000010,Starter,1204.14,Annual,2024-06-12 01:34:41.840869,2025-06-12 01:34:41.840869,Active,,0.0015192978,Low,0.99663985,Pitch: upgrade tier / deeper feature access,Route to expansion play
A000011,O000052,"Lewis, Kennedy and Santana",Mid-Market,23497,2026-06-29 01:48:48.444121,S000011,Growth,1945.13,Monthly,2026-06-29 01:48:48.444121,,Active,,0.36637932,Medium,0.0014791433,Pitch: upgrade tier / deeper feature access,Flag for CSM outreach
A000012,O000061,"Smith, Gilmore and Johnston",SMB,8786,2026-06-10 15:27:31.347248,S000012,Starter,751.27,Monthly,2026-06-10 15:27:31.347248,,Active,,0.0029235873,Low,0.0020487509,Pitch: additional seats,Healthy — no action needed
A000013,O000063,Meadows PLC,SMB,7240,2025-11-23 05:04:48.580482,S000013,Starter,620.63,Annual,2025-11-23 05:04:48.580482,2026-11-23 05:04:48.580482,Active,,0.1297411,Low,0.0018411244,Pitch: additional seats,Healthy — no action needed
A000014,O000065,Howell and Sons,SMB,11453,2024-05-21 00:35:16.436350,S000014,Starter,1081.58,Annual,2024-05-21 00:35:16.436350,2025-05-21 00:35:16.436350,Active,,0.0010411944,Low,0.0017999619,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000015,O000066,"Higgins, Strickland and Martin",SMB,4485,2025-08-17 10:16:11.455850,S000015,Starter,329.89,Annual,2025-08-17 10:16:11.455850,2026-08-17 10:16:11.455850,Churned,2026-01-14 10:16:11.455850,,,,,Already churned
A000016,O000070,Reid-Poole,SMB,4598,2023-07-21 09:03:59.223845,S000016,Starter,424.82,Annual,2023-07-21 09:03:59.223845,2024-07-20 09:03:59.223845,Active,,0.0034224484,Low,0.9965318,Pitch: upgrade tier / deeper feature access,Route to expansion play
A000017,O000071,"Nelson, Morton and Medina",SMB,9806,2024-11-14 07:34:10.734696,S000017,Starter,925.95,Annual,2024-11-14 07:34:10.734696,2025-11-14 07:34:10.734696,Active,,0.0007909774,Low,0.0017999619,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000018,O000072,Marshall-Petersen,SMB,4846,2025-11-11 00:27:43.312924,S000018,Starter,439.83,Monthly,2025-11-11 00:27:43.312924,,Active,,0.0011670259,Low,0.0019213832,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000019,O000073,Christensen PLC,SMB,11549,2026-03-25 09:54:25.551973,S000019,Starter,1036.69,Monthly,2026-03-25 09:54:25.551973,,Active,,0.0024070744,Low,0.0062038847,Pitch: additional seats,Healthy — no action needed
A000020,O000076,"Wood, Tran and Cooper",Mid-Market,27104,2026-08-03 16:17:23.571948,S000020,Growth,2243.76,Monthly,2026-08-03 16:17:23.571948,,Active,,0.0016142497,Low,0.09697108,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000021,O000080,Wilson-Jones,Mid-Market,34041,2024-08-05 21:58:04.474867,S000021,Growth,2592.58,Monthly,2024-08-05 21:58:04.474867,,Active,,0.002168318,Low,0.0031818408,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000022,O000081,Jones-Soto,SMB,3795,2024-09-18 19:31:18.187388,S000022,Starter,279.31,Annual,2024-09-18 19:31:18.187388,2025-09-18 19:31:18.187388,Churned,2025-06-15 19:31:18.187388,,,,,Already churned
A000023,O000084,"Choi, Garcia and Farmer",Enterprise,92912,2025-08-01 02:08:50.987361,S000023,Enterprise,6644.57,Annual,2025-08-01 02:08:50.987361,2026-08-01 02:08:50.987361,Active,,0.0025907403,Low,0.9967981,Pitch: additional seats,Route to expansion play
A000024,O000086,"Walker, Hernandez and Baker",SMB,1000,2025-10-21 17:08:27.237817,S000024,Starter,200.0,Annual,2025-10-21 17:08:27.237817,2026-10-21 17:08:27.237817,Active,,0.0021243496,Low,0.0049924664,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000025,O000087,Larson-Holloway,Mid-Market,31870,2024-05-23 23:40:37.840434,S000025,Growth,2616.18,Monthly,2024-05-23 23:40:37.840434,,Active,,0.0008102526,Low,0.0057806876,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000026,O000088,Navarro-Munoz,SMB,3310,2024-10-24 10:48:39.591604,S000026,Starter,300.46,Annual,2024-10-24 10:48:39.591604,2025-10-24 10:48:39.591604,Active,,0.0017961381,Low,0.0017999619,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000027,O000092,"Garcia, Martin and Jenkins",SMB,1197,2024-06-29 01:34:59.262721,S000027,Starter,200.0,Annual,2024-06-29 01:34:59.262721,2025-06-29 01:34:59.262721,Churned,2025-10-22 01:34:59.262721,,,,,Already churned
A000028,O000093,"Johnson, Miller and King",SMB,1060,2025-11-25 23:45:23.724817,S000028,Starter,200.0,Annual,2025-11-25 23:45:23.724817,2026-11-25 23:45:23.724817,Active,,0.0026298887,Low,0.006817378,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000029,O000100,Tran Inc,SMB,2798,2023-11-16 17:45:08.174729,S000029,Starter,206.32,Annual,2023-11-16 17:45:08.174729,2024-11-15 17:45:08.174729,Active,,0.0037719521,Low,0.0050725257,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000030,O000119,Jones LLC,SMB,2510,2024-06-23 23:52:52.533218,S000030,Starter,200.0,Annual,2024-06-23 23:52:52.533218,2025-06-23 23:52:52.533218,Churned,2025-02-18 23:52:52.533218,,,,,Already churned
A000031,O000122,Robinson-Lee,SMB,6529,2025-04-26 14:35:05.291074,S000031,Starter,594.47,Annual,2025-04-26 14:35:05.291074,2026-04-26 14:35:05.291074,Active,,0.001804419,Low,0.0019213832,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000032,O000125,Coffey-Phillips,SMB,5544,2025-05-31 00:36:06.736712,S000032,Starter,428.92,Annual,2025-05-31 00:36:06.736712,2026-05-31 00:36:06.736712,Churned,2026-01-26 00:36:06.736712,,,,,Already churned
A000033,O000128,"Martinez, Richardson and Curry",SMB,5314,2024-03-22 15:06:28.475013,S000033,Starter,417.08,Annual,2024-03-22 15:06:28.475013,2025-03-22 15:06:28.475013,Active,,0.006732536,Low,0.0016670107,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000034,O000133,Davis PLC,SMB,5724,2024-11-01 12:35:27.481746,S000034,Starter,479.6,Monthly,2024-11-01 12:35:27.481746,,Active,,0.0024764626,Low,0.0017999619,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000035,O000135,Davis-Lewis,Mid-Market,50649,2024-11-28 03:12:17.870613,S000035,Growth,3919.93,Annual,2024-11-28 03:12:17.870613,2025-11-28 03:12:17.870613,Active,,0.0035362355,Low,0.008393183,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000036,O000139,Fernandez and Sons,SMB,11566,2026-09-10 22:16:06.019381,S000036,Starter,955.75,Annual,2026-09-10 22:16:06.019381,2027-09-10 22:16:06.019381,Active,,0.0039340095,Low,0.0076449225,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000037,O000143,"Wilson, Pena and Rich",SMB,6464,2025-03-02 06:00:14.196583,S000037,Starter,545.68,Annual,2025-03-02 06:00:14.196583,2026-03-02 06:00:14.196583,Active,,0.0010958236,Low,0.0018514073,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000038,O000146,Davis Inc,Mid-Market,47925,2025-04-29 14:22:06.971223,S000038,Growth,4463.62,Annual,2025-04-29 14:22:06.971223,2026-04-29 14:22:06.971223,Active,,0.00090214063,Low,0.0048533417,Pitch: additional seats,Healthy — no action needed
A000039,O000154,Atkins PLC,Mid-Market,18429,2023-12-29 13:46:33.226987,S000039,Growth,1581.42,Monthly,2023-12-29 13:46:33.226987,,Churned,2024-03-28 13:46:33.226987,,,,,Already churned
A000040,O000160,Thompson Ltd,Mid-Market,29375,2024-07-24 04:27:41.933470,S000040,Growth,2235.94,Annual,2024-07-24 04:27:41.933470,2025-07-24 04:27:41.933470,Active,,0.00074038847,Low,0.9972796,Pitch: additional seats,Route to expansion play
A000041,O000161,"Downs, Morris and Maddox",SMB,14445,2023-12-09 11:35:08.470250,S000041,Starter,1221.78,Annual,2023-12-09 11:35:08.470250,2024-12-08 11:35:08.470250,Active,,0.0008118532,Low,0.0017999619,Pitch: additional seats,Healthy — no action needed
A000042,O000162,"Williams, Mccoy and Cook",Enterprise,127333,2024-08-08 22:40:48.839131,S000042,Enterprise,9023.51,Annual,2024-08-08 22:40:48.839131,2025-08-08 22:40:48.839131,Active,,0.0013657204,Low,0.9967981,Pitch: additional seats,Route to expansion play
A000043,O000167,"Henderson, Cox and Cox",Enterprise,88108,2024-02-18 01:22:35.295307,S000043,Enterprise,7948.27,Annual,2024-02-18 01:22:35.295307,2025-02-17 01:22:35.295307,Active,,0.0044530258,Low,0.013128231,Pitch: additional seats,Healthy — no action needed
A000044,O000170,Jones Inc,SMB,14862,2023-10-09 10:19:45.718293,S000044,Starter,1226.71,Monthly,2023-10-09 10:19:45.718293,,Active,,0.0016429948,Low,0.0018514073,Pitch: additional seats,Healthy — no action needed
A000045,O000175,Burch-Montoya,SMB,13743,2025-10-16 03:47:35.883086,S000045,Starter,1288.07,Annual,2025-10-16 03:47:35.883086,2026-10-16 03:47:35.883086,Active,,0.50588673,High,0.0017999619,Pitch: upgrade tier / deeper feature access,Flag for CSM outreach
A000046,O000179,Blake Group,Enterprise,100796,2024-12-08 06:08:57.154727,S000046,Enterprise,7295.41,Annual,2024-12-08 06:08:57.154727,2025-12-08 06:08:57.154727,Active,,0.0007130631,Low,0.0055300696,Pitch: additional seats,Healthy — no action needed
A000047,O000181,"Bentley, Lynch and Henderson",Mid-Market,16077,2024-05-12 21:59:22.574217,S000047,Growth,1253.2,Annual,2024-05-12 21:59:22.574217,2025-05-12 21:59:22.574217,Churned,2025-03-08 21:59:22.574217,,,,,Already churned
A000048,O000183,Carlson-Smith,SMB,13484,2023-08-31 09:39:01.508682,S000048,Starter,0.0,Monthly,2023-08-31 09:39:01.508682,,Active,,0.003596988,Low,0.001976292,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000049,O000189,Blackwell LLC,Mid-Market,31933,2023-10-14 17:05:00.524589,S000049,Growth,2970.94,Annual,2023-10-14 17:05:00.524589,2024-10-13 17:05:00.524589,Active,,0.0007486794,Low,0.004223185,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000050,O000193,"Carter, Garcia and Murphy",Mid-Market,16044,2026-09-12 04:57:42.041089,S000050,Growth,1304.39,Annual,2026-09-12 04:57:42.041089,2027-09-12 04:57:42.041089,Active,,0.0034785776,Low,0.0076449225,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000051,O000196,Reyes-Bradley,Mid-Market,17354,2024-05-28 08:03:29.741135,S000051,Growth,1263.56,Annual,2024-05-28 08:03:29.741135,2025-05-28 08:03:29.741135,Active,,0.0010562586,Low,0.0018411244,Pitch: additional seats,Healthy — no action needed
A000052,O000198,Holmes-Mcintyre,Mid-Market,16360,2024-03-25 11:22:05.283164,S000052,Growth,1189.58,Monthly,2024-03-25 11:22:05.283164,,Active,,0.0009436718,Low,0.0017999619,Pitch: additional seats,Healthy — no action needed
A000053,O000203,"Mendoza, Jenkins and Ortiz",Mid-Market,32915,2023-10-22 13:08:08.451942,S000053,Growth,3055.83,Annual,2023-10-22 13:08:08.451942,2024-10-21 13:08:08.451942,Churned,2024-05-19 13:08:08.451942,,,,,Already churned
A000054,O000204,"Matthews, Saunders and Anderson",SMB,12740,2025-05-27 12:17:47.753400,S000054,Starter,1146.99,Monthly,2025-05-27 12:17:47.753400,,Active,,0.001852704,Low,0.0017999619,Pitch: additional seats,Healthy — no action needed
A000055,O000211,Evans-Jones,SMB,1283,2023-05-22 15:45:54.120726,S000055,Starter,200.0,Monthly,2023-05-22 15:45:54.120726,,Active,,0.0028256422,Low,0.0017146628,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000056,O000223,Robles-Swanson,SMB,7993,2024-12-12 05:57:30.762702,S000056,Starter,728.93,Monthly,2024-12-12 05:57:30.762702,,Active,,0.0007623201,Low,0.0017999619,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000057,O000228,Stevens PLC,Mid-Market,21070,2024-05-22 11:40:33.924888,S000057,Growth,1626.4,Monthly,2024-05-22 11:40:33.924888,,Active,,0.0007675242,Low,0.99703,Pitch: additional seats,Route to expansion play
A000058,O000232,Love-Garcia,Mid-Market,31896,2025-10-07 11:33:50.012233,S000058,Growth,2537.98,Annual,2025-10-07 11:33:50.012233,2026-10-07 11:33:50.012233,Active,,0.00094761816,Low,0.9967981,Pitch: additional seats,Route to expansion play
A000059,O000235,"Rodgers, Jefferson and Johnson",Mid-Market,31805,2025-09-15 07:41:31.123071,S000059,Growth,2683.25,Annual,2025-09-15 07:41:31.123071,2026-09-15 07:41:31.123071,Active,,0.0014071019,Low,0.0027932513,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000060,O000236,Osborn Group,SMB,2216,2024-04-07 12:07:06.333458,S000060,Starter,200.0,Monthly,2024-04-07 12:07:06.333458,,Active,,0.0012020877,Low,0.9965318,Pitch: upgrade tier / deeper feature access,Route to expansion play
A000061,O000237,Lopez-Curry,Mid-Market,42884,2024-09-21 18:08:21.400692,S000061,Growth,3204.95,Annual,2024-09-21 18:08:21.400692,2025-09-21 18:08:21.400692,Active,,0.0012238823,Low,0.0094215525,Pitch: additional seats,Healthy — no action needed
A000062,O000241,Higgins-Smith,Mid-Market,21349,2026-05-30 08:23:26.475014,S000062,Growth,1581.69,Monthly,2026-05-30 08:23:26.475014,,Active,,0.0026959262,Low,0.99703,Pitch: additional seats,Route to expansion play
A000063,O000248,Andersen Group,SMB,12570,2025-04-28 22:00:11.832584,S000063,Starter,1055.69,Monthly,2025-04-28 22:00:11.832584,,Active,,0.0018436866,Low,0.0052462197,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000064,O000249,Mitchell and Sons,Mid-Market,19833,2026-07-24 12:27:51.224129,S000064,Growth,1545.77,Annual,2026-07-24 12:27:51.224129,2027-07-24 12:27:51.224129,Active,,0.0016142497,Low,0.005750846,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000065,O000252,"Gray, Hall and Murray",SMB,12754,2023-06-28 16:03:06.404359,S000065,Starter,1056.95,Monthly,2023-06-28 16:03:06.404359,,Active,,0.002183507,Low,0.001976292,Pitch: additional seats,Healthy — no action needed
A000066,O000258,"Thomas, Ford and Brown",Mid-Market,16376,2026-02-24 16:02:56.322628,S000066,Growth,1549.84,Annual,2026-02-24 16:02:56.322628,2027-02-24 16:02:56.322628,Active,,0.0016197028,Low,0.99738806,Pitch: upgrade tier / deeper feature access,Route to expansion play
A000067,O000262,Giles Ltd,SMB,9547,2024-07-21 07:53:56.042637,S000067,Starter,864.41,Annual,2024-07-21 07:53:56.042637,2025-07-21 07:53:56.042637,Active,,0.00083418953,Low,0.0047529167,Pitch: additional seats,Healthy — no action needed
A000068,O000265,"Morris, Campbell and Owens",SMB,10839,2026-08-08 12:53:49.821292,S000068,Starter,789.87,Monthly,2026-08-08 12:53:49.821292,,Active,,0.002011385,Low,0.079260215,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000069,O000267,Owens-Lang,Mid-Market,38562,2023-12-13 07:41:24.044933,S000069,Growth,2882.27,Annual,2023-12-13 07:41:24.044933,2024-12-12 07:41:24.044933,Active,,0.00112777,Low,0.9967981,Pitch: additional seats,Route to expansion play
A000070,O000277,Adams-Sanders,Mid-Market,33402,2024-03-27 20:06:00.519496,S000070,Growth,2970.11,Annual,2024-03-27 20:06:00.519496,2025-03-27 20:06:00.519496,Active,,0.0008102526,Low,0.006148509,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000071,O000287,Smith LLC,SMB,6522,2026-07-29 20:03:56.831453,S000071,Starter,549.6,Monthly,2026-07-29 20:03:56.831453,,Active,,0.0027869563,Low,0.051275387,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000072,O000293,Taylor Inc,Mid-Market,29588,2026-07-05 02:59:15.468794,S000072,Growth,2544.78,Annual,2026-07-05 02:59:15.468794,2027-07-05 02:59:15.468794,Active,,0.0022983458,Low,0.86790365,Pitch: upgrade tier / deeper feature access,Route to expansion play
A000073,O000294,Ewing-Mendoza,SMB,2614,2026-03-06 00:45:10.151051,S000073,Starter,200.0,Monthly,2026-03-06 00:45:10.151051,,Churned,2026-08-03 00:45:10.151051,,,,,Already churned
A000074,O000297,"Burgess, Grant and Watts",Mid-Market,18621,2024-02-25 01:27:15.159709,S000074,Growth,1407.98,Annual,2024-02-25 01:27:15.159709,2025-02-24 01:27:15.159709,Churned,2025-01-20 01:27:15.159709,,,,,Already churned
A000075,O000303,"Marsh, Spears and Yang",Mid-Market,21412,2024-05-19 14:40:07.303765,S000075,Growth,1899.54,Monthly,2024-05-19 14:40:07.303765,,Active,,0.0021443397,Low,0.0054528993,Pitch: additional seats,Healthy — no action needed
A000076,O000308,Lopez-Reid,SMB,1363,2024-05-05 07:17:34.249889,S000076,Starter,200.0,Annual,2024-05-05 07:17:34.249889,2025-05-05 07:17:34.249889,Churned,2024-10-02 07:17:34.249889,,,,,Already churned
A000077,O000315,Martin-Taylor,Mid-Market,20565,2026-08-07 12:14:14.117790,S000077,Growth,1966.2,Monthly,2026-08-07 12:14:14.117790,,Active,,0.0016197028,Low,0.16708292,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000078,O000318,Sellers-Riddle,Enterprise,107061,2023-07-26 03:23:15.830571,S000078,Enterprise,8862.93,Annual,2023-07-26 03:23:15.830571,2024-07-25 03:23:15.830571,Active,,0.0008196766,Low,0.9967981,Pitch: additional seats,Route to expansion play
A000079,O000319,"Morris, Wright and Bridges",SMB,4286,2025-01-27 12:06:12.273811,S000079,Starter,357.94,Annual,2025-01-27 12:06:12.273811,2026-01-27 12:06:12.273811,Churned,2025-05-27 12:06:12.273811,,,,,Already churned
A000080,O000329,Williams Ltd,SMB,5560,2026-07-02 11:05:43.374592,S000080,Starter,394.08,Monthly,2026-07-02 11:05:43.374592,,Active,,0.0028693324,Low,0.012863234,Pitch: additional seats,Healthy — no action needed
A000081,O000334,Bishop and Sons,Enterprise,69612,2024-08-01 16:19:20.695993,S000081,Enterprise,4954.1,Annual,2024-08-01 16:19:20.695993,2025-08-01 16:19:20.695993,Active,,0.0014673405,Low,0.0031818408,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000082,O000336,"Hernandez, Jenkins and Parks",SMB,4864,2024-01-20 01:44:27.938909,S000082,Starter,415.31,Annual,2024-01-20 01:44:27.938909,2025-01-19 01:44:27.938909,Active,,0.0026966636,Low,0.0017999619,Pitch: additional seats,Healthy — no action needed
A000083,O000339,Wright Ltd,SMB,13917,2025-05-07 14:35:13.179311,S000083,Starter,1136.23,Annual,2025-05-07 14:35:13.179311,2026-05-07 14:35:13.179311,Active,,0.0023910531,Low,0.99663985,Pitch: upgrade tier / deeper feature access,Route to expansion play
A000084,O000343,Harris-Lawson,Mid-Market,19547,2025-09-01 10:32:48.694070,S000084,Growth,1648.44,Monthly,2025-09-01 10:32:48.694070,,Active,,0.0013657204,Low,0.0033303148,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000085,O000347,Matthews Inc,SMB,9059,2025-11-30 10:02:26.307017,S000085,Starter,718.28,Annual,2025-11-30 10:02:26.307017,2026-11-30 10:02:26.307017,Active,,0.19115597,Low,0.0017999619,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000086,O000350,"Yang, Wilson and Zimmerman",SMB,14436,2025-07-13 17:22:34.504442,S000086,Starter,1319.27,Annual,2025-07-13 17:22:34.504442,2026-07-13 17:22:34.504442,Active,,0.0028193642,Low,0.0019142821,Pitch: additional seats,Healthy — no action needed
A000087,O000354,Mora-White,SMB,10858,2024-01-01 23:12:29.115381,S000087,Starter,975.77,Annual,2024-01-01 23:12:29.115381,2024-12-31 23:12:29.115381,Active,,0.002011385,Low,0.9965318,Pitch: upgrade tier / deeper feature access,Route to expansion play
A000088,O000356,Shaw Inc,SMB,6129,2025-09-20 01:08:38.410883,S000088,Starter,436.19,Annual,2025-09-20 01:08:38.410883,2026-09-20 01:08:38.410883,Active,,0.0022117821,Low,0.0020433997,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000089,O000363,Haynes-Watson,Mid-Market,58476,2024-02-29 12:45:51.014451,S000089,Growth,5131.19,Annual,2024-02-29 12:45:51.014451,2025-02-28 12:45:51.014451,Active,,0.002168318,Low,0.0056820507,Pitch: additional seats,Healthy — no action needed
A000090,O000369,Martinez Inc,SMB,5297,2026-06-24 00:42:23.654289,S000090,Starter,391.97,Monthly,2026-06-24 00:42:23.654289,,Active,,0.07705492,Low,0.0019213832,Pitch: additional seats,Healthy — no action needed
A000091,O000373,Underwood-Foster,SMB,12387,2024-05-31 07:36:01.066411,S000091,Starter,890.79,Annual,2024-05-31 07:36:01.066411,2025-05-31 07:36:01.066411,Active,,0.002359783,Low,0.99663985,Pitch: upgrade tier / deeper feature access,Route to expansion play
A000092,O000374,Castillo-Harrington,Mid-Market,22608,2025-09-19 04:44:12.583421,S000092,Growth,1789.46,Monthly,2025-09-19 04:44:12.583421,,Active,,0.0023504281,Low,0.006213358,Pitch: additional seats,Healthy — no action needed
A000093,O000381,Yu-Brooks,SMB,7015,2024-08-25 05:46:55.150742,S000093,Starter,650.75,Annual,2024-08-25 05:46:55.150742,2025-08-25 05:46:55.150742,Active,,0.0006729374,Low,0.9965318,Pitch: upgrade tier / deeper feature access,Route to expansion play
A000094,O000382,"Foster, Garcia and Turner",Mid-Market,35462,2023-11-08 09:27:30.479052,S000094,Growth,2605.72,Monthly,2023-11-08 09:27:30.479052,,Churned,2025-01-31 09:27:30.479052,,,,,Already churned
A000095,O000391,"Larsen, Hernandez and Ward",SMB,7416,2026-07-26 15:21:40.843183,S000095,Starter,708.4,Monthly,2026-07-26 15:21:40.843183,,Active,,0.0024421215,Low,0.0042520566,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000096,O000393,Watson Group,Mid-Market,24883,2025-01-29 15:24:48.475557,S000096,Growth,1860.45,Annual,2025-01-29 15:24:48.475557,2026-01-29 15:24:48.475557,Active,,0.00063694775,Low,0.003437383,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000097,O000394,Marshall-Perez,Mid-Market,25242,2025-07-01 05:55:02.017884,S000097,Growth,1980.97,Annual,2025-07-01 05:55:02.017884,2026-07-01 05:55:02.017884,Active,,0.0027426356,Low,0.0048020873,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000098,O000396,Flowers LLC,Mid-Market,19929,2026-01-12 03:57:48.196638,S000098,Growth,1611.32,Monthly,2026-01-12 03:57:48.196638,,Churned,2026-05-12 03:57:48.196638,,,,,Already churned
A000099,O000400,Humphrey-Baker,Mid-Market,19111,2024-10-05 23:59:44.955274,S000099,Growth,1584.09,Annual,2024-10-05 23:59:44.955274,2025-10-05 23:59:44.955274,Active,,0.0016378243,Low,0.0016070565,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000100,O000407,Hill Group,Mid-Market,32475,2024-08-30 02:19:10.681687,S000100,Growth,2334.36,Annual,2024-08-30 02:19:10.681687,2025-08-30 02:19:10.681687,Active,,0.0010702498,Low,0.002829657,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000101,O000416,Guerrero-Becker,SMB,3800,2025-12-02 21:30:35.720165,S000101,Starter,329.45,Annual,2025-12-02 21:30:35.720165,2026-12-02 21:30:35.720165,Active,,0.0014499486,Low,0.9965318,Pitch: upgrade tier / deeper feature access,Route to expansion play
A000102,O000420,Fisher-Eaton,SMB,10173,2025-08-30 20:32:45.182182,S000102,Starter,974.43,Annual,2025-08-30 20:32:45.182182,2026-08-30 20:32:45.182182,Active,,0.0020569782,Low,0.9965318,Pitch: upgrade tier / deeper feature access,Route to expansion play
A000103,O000428,Wise-Dean,Mid-Market,17327,2025-04-01 01:12:00.561201,S000103,Growth,1338.35,Annual,2025-04-01 01:12:00.561201,2026-04-01 01:12:00.561201,Churned,2025-06-30 01:12:00.561201,,,,,Already churned
A000104,O000435,White-Morales,SMB,9016,2025-08-09 19:39:53.934213,S000104,Starter,852.97,Monthly,2025-08-09 19:39:53.934213,,Active,,0.00081378565,Low,0.0019142821,Pitch: upgrade tier / deeper feature access,Healthy — no action needed
A000105,O000439,Clay Group,SMB,5247,2023-11-19 07:54:24.631004,S000105,Starter,387.54,Monthly,2023-11-19 07:54:24.631004,,Churned,2024-02-17 07:54:24.631004,,,,,Already churned
