account_id,initial_deal_size,mrr,n_months_active,avg_active_users,last_active_users,active_users_trend,avg_features_adopted,features_adopted_trend,avg_logins,logins_trend,n_tickets,n_high_severity,pct_unresolved,avg_resolution_days,account_tier_Mid-Market,account_tier_SMB,plan_Growth,plan_Starter,billing_frequency_Monthly
A000031,6529,594.47,16.0,2.0,2.0,1.5529913695070524e-17,2.0,1.5529913695070524e-17,26.75,0.6558823529411766,9.0,0.0,0.0,4.744444444444444,False,True,False,True,False
A000032,5544,428.92,7.0,1.5714285714285714,1.0,-0.21428571428571438,3.2857142857142856,-0.3214285714285717,21.714285714285715,-3.178571428571425,9.0,4.0,0.2222222222222222,3.2714285714285714,False,True,False,True,False
A000033,5314,417.08,29.0,2.0,2.0,-1.8400120122448966e-17,2.0,-1.8400120122448966e-17,1320.6896551724137,-14.236453201970448,14.0,1.0,0.0714285714285714,3.9769230769230766,False,True,False,True,False
A000034,5724,479.6,20.0,2.0,2.0,-5.0064932503219396e-17,3.0,-3.45698662836618e-17,25.7,-0.01804511278195546,12.0,1.0,0.08333333333333337,3.209090909090909,False,True,False,True,True
A000035,50649,3919.93,20.0,16.05,15.0,-0.038345864661654204,4.0,-1.0012986500643879e-16,219.1,-2.8646616541353445,9.0,1.0,0.0,5.155555555555555,True,False,True,False,False
A000036,11566,955.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,True,False
A000037,6464,545.68,18.0,2.0,2.0,7.059017484986522e-18,3.0,5.518364895570431e-17,25.0,0.20433436532507793,7.0,0.0,0.0,3.728571428571429,False,True,False,True,False
A000038,47925,4463.62,16.0,15.125,16.0,0.023529411764705792,3.0,6.941250574475034e-17,206.0,-0.07058823529411783,6.0,2.0,0.16666666666666663,3.4799999999999995,True,False,True,False,False
A000039,18429,1581.42,3.0,4.0,2.0,-1.9999999999999996,3.0,-1.0000000000000002,49.333333333333336,-4.000000000000002,3.0,0.0,0.6666666666666667,4.8,True,False,True,False,True
A000040,29375,2235.94,24.0,12.125,16.0,0.2395652173913041,5.583333333333333,0.22434782608695653,185.625,4.150869565217391,10.0,2.0,0.19999999999999996,3.4625000000000004,True,False,True,False,False
A000041,14445,1221.78,33.0,4.0,4.0,1.6964618672206654e-17,2.0,8.482309336103327e-18,48.54545454545455,-0.10394385026737855,11.0,0.0,0.0,3.3818181818181814,False,True,False,True,False
A000042,127333,9023.51,24.0,60.75,81.0,1.5999999999999994,5.583333333333333,0.22434782608695653,786.125,22.47434782608694,5.0,0.0,0.0,2.7,False,False,False,False,False
A000043,88108,7948.27,29.0,29.586206896551722,29.0,0.03399014778325101,4.0,-3.680024024489793e-17,456.3103448275862,-2.4167487684729108,11.0,2.0,0.0,5.245454545454546,False,False,False,False,False
A000044,14862,1226.71,32.0,4.0,4.0,1.0443137044053249e-16,2.0,5.221568522026624e-17,53.59375,-0.23442082111436793,15.0,5.0,0.06666666666666665,2.6499999999999995,False,True,False,True,True
A000045,13743,1288.07,10.0,2.8,1.0,-0.3272727272727271,3.2,-0.1818181818181817,36.7,-3.860606060606061,15.0,7.0,0.33333333333333337,4.02,False,True,False,True,False
A000046,100796,7295.41,21.0,32.76190476190476,36.0,0.12077922077922072,3.0,-1.533878681486988e-17,479.8095238095238,1.1818181818181972,11.0,1.0,0.09090909090909094,3.6399999999999997,False,False,False,False,False
A000047,16077,1253.2,10.0,3.4,2.0,-0.3636363636363634,1.6,-0.14545454545454548,44.4,-4.387878787878786,11.0,4.0,0.18181818181818177,5.444444444444444,True,False,True,False,False
A000048,13484,0.0,34.0,4.0,4.0,-2.1992818053185282e-17,3.0,6.353519540347771e-17,56.294117647058826,-0.2670741023682197,15.0,0.0,0.19999999999999996,4.316666666666666,False,True,False,True,True
A000049,31933,2970.94,35.0,9.82857142857143,10.0,-0.018207282913165184,2.0,1.843845606891692e-17,126.22857142857143,-0.8560224089635845,10.0,2.0,0.19999999999999996,3.9250000000000003,True,False,True,False,False
A000050,16044,1304.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,False
A000051,17354,1263.56,27.0,5.0,5.0,7.116137873999523e-17,2.0,2.1697170904448208e-17,68.85185185185185,0.6489621489621494,14.0,3.0,0.2142857142857143,4.118181818181818,True,False,True,False,False
A000052,16360,1189.58,29.0,5.0,5.0,1.3088764831282886e-17,3.0,-3.0921413744436907e-17,72.93103448275862,-0.13743842364532013,11.0,3.0,0.18181818181818177,3.9000000000000004,True,False,True,False,True
A000053,32915,3055.83,7.0,7.142857142857143,4.0,-1.0714285714285716,3.142857142857143,-0.2857142857142859,86.14285714285714,-19.892857142857142,4.0,1.0,0.25,4.933333333333334,True,False,True,False,False
A000054,12740,1146.99,15.0,4.0,4.0,1.4984599085366893e-16,3.0,3.9801698827525604e-17,60.06666666666667,1.6499999999999992,6.0,0.0,0.0,2.3000000000000003,False,True,False,True,True
A000055,1283,200.0,37.0,2.0,2.0,4.6828816128318734e-17,3.0,6.326632738553495e-17,1312.162162162162,0.04741583688952637,19.0,1.0,0.1578947368421053,3.84375,False,True,False,True,True
A000056,7993,728.93,20.0,2.0,2.0,-5.0064932503219396e-17,2.0,-5.0064932503219396e-17,27.35,-0.09248120300751919,7.0,2.0,0.1428571428571429,3.416666666666666,False,True,False,True,True
A000057,21070,1626.4,27.0,10.11111111111111,13.0,0.25702075702075716,4.481481481481482,0.19230769230769237,143.25925925925927,3.0787545787545803,4.0,1.0,0.25,3.233333333333333,True,False,True,False,True
A000058,31896,2537.98,10.0,14.4,20.0,1.1636363636363634,5.5,0.5151515151515151,239.6,23.854545454545452,7.0,0.0,0.1428571428571429,4.2,True,False,True,False,False
A000059,31805,2683.25,11.0,10.181818181818182,9.0,-0.10909090909090856,3.0,-1.2655971982378146e-17,150.0,-2.9363636363636343,7.0,1.0,0.0,3.3428571428571425,True,False,True,False,False
A000060,2216,200.0,28.0,2.8214285714285716,4.0,0.07142857142857138,6.428571428571429,0.18500273672687473,38.57142857142857,0.6918445539135195,9.0,1.0,0.0,3.5555555555555554,False,True,False,True,True
A000061,42884,3204.95,22.0,14.045454545454545,15.0,0.0254093732354602,4.0,1.2128203685960336e-17,212.45454545454547,2.9542631281761746,11.0,2.0,0.09090909090909094,3.08,True,False,True,False,False
A000062,21349,1581.69,3.0,10.333333333333334,14.0,3.0000000000000018,5.666666666666667,2.5000000000000004,109.66666666666667,29.50000000000002,2.0,1.0,0.5,9.2,True,False,True,False,True
A000063,12570,1055.69,15.0,4.0,4.0,1.4984599085366893e-16,4.0,1.4984599085366893e-16,55.93333333333333,-1.532142857142856,7.0,1.0,0.4285714285714286,3.6999999999999997,False,True,False,True,True
A000064,19833,1545.77,1.0,6.0,6.0,0.0,3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,False
A000065,12754,1056.95,37.0,4.0,4.0,9.365763225663747e-17,2.0,4.6828816128318734e-17,54.108108108108105,-0.27358937885253665,16.0,4.0,0.0625,5.4399999999999995,False,True,False,True,True
A000066,16376,1549.84,6.0,7.0,8.0,0.6857142857142857,4.5,0.9999999999999998,101.16666666666667,8.6,0.0,0.0,0.0,0.0,True,False,True,False,False
A000067,9547,864.41,25.0,3.0,3.0,1.983778464620202e-17,4.0,-8.351456767269853e-17,42.72,0.3576923076923075,9.0,5.0,0.0,3.8444444444444446,False,True,False,True,False
A000068,10839,789.87,1.0,3.0,3.0,0.0,4.0,0.0,33.0,0.0,1.0,0.0,0.0,5.1,False,True,False,True,True
A000069,38562,2882.27,30.0,17.3,19.0,0.3219132369299221,4.366666666666666,0.1746384872080088,234.4,3.9741935483870976,10.0,1.0,0.0,4.41,True,False,True,False,False
A000070,33402,2970.11,29.0,10.89655172413793,11.0,-0.01674876847290632,4.0,-3.680024024489793e-17,149.86206896551724,0.685221674876846,12.0,1.0,0.08333333333333337,3.9454545454545453,True,False,True,False,False
A000071,6522,549.6,1.0,2.0,2.0,0.0,4.0,0.0,17.0,0.0,3.0,0.0,0.33333333333333337,2.3,False,True,False,True,True
A000072,29588,2544.78,1.0,9.0,9.0,0.0,4.0,0.0,166.0,0.0,1.0,0.0,0.0,8.5,True,False,True,False,False
A000073,2614,200.0,5.0,1.4,1.0,-0.30000000000000016,1.6,-0.30000000000000016,1040.0,-155.00000000000017,7.0,3.0,0.2857142857142857,3.3800000000000003,False,True,False,True,True
A000074,18621,1407.98,11.0,4.090909090909091,2.0,-0.42727272727272714,2.4545454545454546,-0.1363636363636363,54.0,-4.481818181818179,7.0,2.0,0.2857142857142857,3.18,True,False,True,False,False
A000075,21412,1899.54,26.0,7.1923076923076925,7.0,0.005811965811965936,4.0,1.443850460211652e-17,96.84615384615384,-0.49230769230769267,14.0,1.0,0.0,5.378571428571428,True,False,True,False,True
A000076,1363,200.0,5.0,1.4,1.0,-0.30000000000000016,1.6,-0.30000000000000016,24.2,-6.600000000000005,8.0,4.0,0.375,2.68,False,True,False,True,False
A000077,20565,1966.2,1.0,6.0,6.0,0.0,4.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,True
A000078,107061,8862.93,35.0,47.542857142857144,70.0,0.9229691876750702,4.485714285714286,0.14761904761904768,678.0,17.69635854341737,11.0,4.0,0.0,3.7181818181818174,False,False,False,False,False
A000079,4286,357.94,4.0,1.5,1.0,-0.3999999999999999,1.5,-0.3999999999999999,14.25,-2.299999999999999,9.0,5.0,0.33333333333333337,3.4000000000000004,False,True,False,True,False
A000080,5560,394.08,2.0,2.0,2.0,-1.570092458683775e-16,3.0,-3.14018491736755e-16,33.0,-6.0,3.0,0.0,0.0,9.266666666666667,False,True,False,True,True
A000081,69612,4954.1,24.0,22.583333333333332,21.0,-0.02521739130434831,2.0,-6.626518791160187e-17,330.25,-0.9330434782608803,11.0,2.0,0.0,4.3545454545454545,False,False,False,False,False
A000082,4864,415.31,31.0,2.0,2.0,-1.541474743955434e-19,3.0,-2.0391326471411207e-17,27.741935483870968,-0.02459677419354881,20.0,2.0,0.09999999999999998,3.988888888888889,False,True,False,True,False
A000083,13917,1136.23,16.0,5.8125,7.0,0.20441176470588246,4.5,0.3382352941176472,78.1875,2.342647058823531,2.0,0.0,0.0,6.25,False,True,False,True,False
A000084,19547,1648.44,12.0,6.166666666666667,6.0,-0.02797202797202787,4.0,2.7567324077004384e-18,84.0,0.9020979020979032,3.0,0.0,0.0,2.8666666666666667,True,False,True,False,True
A000085,9059,718.28,9.0,2.111111111111111,1.0,-0.2666666666666665,3.2222222222222223,-0.2166666666666665,26.555555555555557,-4.716666666666668,7.0,3.0,0.2857142857142857,3.2400000000000007,False,True,False,True,False
A000086,14436,1319.27,13.0,4.0,4.0,1.0870176106540271e-16,3.0,9.023562674828846e-17,59.69230769230769,-2.263736263736264,4.0,2.0,0.25,2.8333333333333335,False,True,False,True,False
A000087,10858,975.77,29.0,4.068965517241379,5.0,0.08719211822660092,4.448275862068965,0.1921182266009852,54.241379310344826,0.8197044334975362,5.0,0.0,0.0,5.7,False,True,False,True,False
A000088,6129,436.19,11.0,2.0,2.0,8.780795404756657e-17,2.0,8.780795404756657e-17,28.545454545454547,-0.28181818181818186,5.0,0.0,0.0,4.64,False,True,False,True,False
A000089,58476,5131.19,28.0,19.0,20.0,0.039408866995073975,2.0,6.438850970431975e-17,277.35714285714283,1.851669403393545,19.0,3.0,0.0,5.442105263157896,True,False,True,False,False
A000090,5297,391.97,2.0,1.5,1.0,-1.0,3.0,-2.0,14.0,-8.000000000000002,4.0,2.0,0.0,5.324999999999999,False,True,False,True,True
A000091,12387,890.79,27.0,5.481481481481482,7.0,0.1178266178266179,5.518518518518518,0.19230769230769237,79.62962962962963,2.4297924297924305,7.0,0.0,0.4285714285714286,6.3,False,True,False,True,False
A000092,22608,1789.46,11.0,6.7272727272727275,6.0,0.018181818181818445,4.0,1.7561590809513314e-16,94.63636363636364,5.6,4.0,0.0,0.0,4.9750000000000005,True,False,True,False,True
A000093,7015,650.75,23.0,2.739130434782609,3.0,0.06818181818181816,5.478260869565218,0.23517786561264822,45.52173913043478,1.58399209486166,10.0,1.0,0.0,3.4200000000000004,False,True,False,True,False
A000094,35462,2605.72,15.0,7.933333333333334,4.0,-0.5035714285714281,3.2666666666666666,-0.11428571428571424,101.53333333333333,-2.7857142857142883,20.0,5.0,0.6,4.125,True,False,True,False,True
A000095,7416,708.4,1.0,2.0,2.0,0.0,2.0,0.0,20.0,0.0,2.0,1.0,0.5,1.4,False,True,False,True,True
A000096,24883,1860.45,19.0,8.157894736842104,7.0,-0.08596491228070222,4.0,-7.606091506734758e-17,104.05263157894737,-0.32280701754386254,8.0,0.0,0.125,3.942857142857143,True,False,True,False,False
A000097,25242,1980.97,14.0,8.357142857142858,8.0,-0.028571428571428706,4.0,6.014260112517971e-18,123.85714285714286,-2.558241758241761,6.0,0.0,0.16666666666666663,3.0799999999999996,True,False,True,False,False
A000098,19929,1611.32,3.0,4.666666666666667,3.0,-1.4999999999999993,2.6666666666666665,-0.4999999999999997,58.666666666666664,-21.0,6.0,2.0,0.5,1.9333333333333333,True,False,True,False,True
A000099,19111,1584.09,23.0,5.869565217391305,5.0,-0.004940711462450516,2.0,-3.9020150566571225e-17,77.8695652173913,-0.9160079051383407,6.0,0.0,0.0,2.6,True,False,True,False,False
A000100,32475,2334.36,24.0,10.125,9.0,-0.029130434782608926,2.0,-6.626518791160187e-17,134.54166666666666,1.1552173913043458,9.0,1.0,0.11111111111111116,4.25,True,False,True,False,False
A000101,3800,329.45,9.0,2.7777777777777777,3.0,0.1166666666666668,4.444444444444445,0.6,40.666666666666664,1.6666666666666663,5.0,1.0,0.0,4.36,False,True,False,True,False
A000102,10173,974.43,11.0,4.0,6.0,0.27272727272727265,6.636363636363637,0.5363636363636364,51.27272727272727,5.754545454545454,4.0,0.0,0.0,4.5,False,True,False,True,False
A000103,17327,1338.35,3.0,3.3333333333333335,2.0,-1.4999999999999998,1.6666666666666667,-0.5000000000000003,54.333333333333336,-34.999999999999986,6.0,2.0,0.16666666666666663,4.36,True,False,True,False,False
A000104,9016,852.97,12.0,3.0,3.0,9.429455119166883e-17,3.0,9.429455119166883e-17,49.0,1.608391608391608,7.0,3.0,0.1428571428571429,4.0,False,True,False,True,True
A000105,5247,387.54,3.0,1.3333333333333333,1.0,-0.5,1.6666666666666667,-0.5000000000000003,19.0,-15.499999999999998,4.0,0.0,0.25,2.1999999999999997,False,True,False,True,True
A000106,25012,2235.32,34.0,7.970588235294118,7.0,-0.010847975553857941,3.0,6.353519540347771e-17,103.20588235294117,-0.36195569136745365,20.0,1.0,0.09999999999999998,4.8277777777777775,True,False,True,False,False
A000107,35466,3063.61,2.0,13.5,17.0,6.999999999999998,6.5,4.999999999999998,241.0,189.99999999999997,1.0,0.0,0.0,3.1,True,False,True,False,False
A000108,25584,2061.72,13.0,5.538461538461538,3.0,-0.42857142857142866,2.3846153846153846,-0.1098901098901099,75.0,-6.670329670329673,21.0,8.0,0.19047619047619047,3.7588235294117647,True,False,True,False,True
A000109,3131,248.51,5.0,1.4,1.0,-0.30000000000000016,1.6,-0.30000000000000016,13.4,-3.400000000000003,11.0,3.0,0.5454545454545454,4.78,False,True,False,True,False
A000110,5368,418.98,3.0,1.3333333333333333,1.0,-0.5,1.6666666666666667,-0.5000000000000003,23.666666666666668,-11.999999999999996,2.0,1.0,0.5,2.5,False,True,False,True,False
A000111,6618,581.74,26.0,2.0,2.0,7.21925230105826e-18,2.0,7.21925230105826e-18,30.346153846153847,0.16034188034187993,10.0,1.0,0.09999999999999998,4.622222222222222,False,True,False,True,True
A000112,20413,1538.02,1.0,6.0,6.0,0.0,4.0,0.0,60.0,0.0,2.0,2.0,0.0,6.8500000000000005,True,False,True,False,False
A000113,2547,205.21,6.0,2.0,2.0,1.5902414263964848e-17,4.0,3.1804828527929695e-17,24.833333333333332,-3.9714285714285724,3.0,1.0,0.0,4.3999999999999995,False,True,False,True,False
A000114,33654,2647.18,3.0,11.333333333333334,11.0,3.078213430367457e-16,3.0,1.0118224371490771e-16,161.66666666666666,1.7363204497640667e-14,3.0,1.0,0.0,3.7000000000000006,True,False,True,False,True
A000115,40683,3608.16,18.0,13.11111111111111,12.0,0.0144478844169247,3.0,5.518364895570431e-17,200.16666666666666,-1.9969040247677958,8.0,1.0,0.125,3.8857142857142857,True,False,True,False,False
A000116,25583,2126.43,16.0,11.4375,14.0,0.4661764705882354,5.5,0.338235294117647,185.6875,11.157352941176471,2.0,0.0,0.0,2.8000000000000003,True,False,True,False,True
A000117,3216,257.69,2.0,2.0,2.0,-1.570092458683775e-16,2.0,-1.570092458683775e-16,31.5,2.999999999999998,1.0,0.0,0.0,6.4,False,True,False,True,False
A000118,46225,4171.8,5.0,14.6,14.0,0.09999999999999863,3.0,-4.151461237982223e-16,222.2,-10.60000000000001,3.0,0.0,0.33333333333333337,4.8,True,False,True,False,True
A000119,20499,1742.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,False
A000120,67802,5438.27,30.0,21.933333333333334,20.0,0.001334816462735894,3.0,-9.005681807702022e-17,309.53333333333336,0.8031145717463812,14.0,2.0,0.0714285714285714,2.907692307692308,False,False,False,False,False
A000121,4878,349.88,14.0,2.0,2.0,3.0071300562589855e-18,2.0,3.0071300562589855e-18,26.142857142857142,-0.39999999999999986,3.0,0.0,0.33333333333333337,1.75,False,True,False,True,False
A000122,34110,2715.05,1.0,12.0,12.0,0.0,4.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,False
A000123,29045,2322.66,8.0,6.375,4.0,-0.5357142857142853,1.625,-0.17857142857142863,70.625,-7.226190476190481,4.0,2.0,0.25,4.133333333333333,True,False,True,False,False
A000124,5849,488.2,10.0,1.3,1.0,-0.12727272727272726,3.2,-0.1818181818181817,17.2,-1.2484848484848474,16.0,6.0,0.1875,4.846153846153846,False,True,False,True,False
A000125,6350,580.23,33.0,2.0,2.0,8.482309336103327e-18,3.0,4.107508455218798e-17,29.727272727272727,0.08389037433155079,11.0,0.0,0.0,2.5090909090909093,False,True,False,True,True
A000126,15959,1396.87,17.0,3.4705882352941178,2.0,-0.16666666666666666,1.6470588235294117,-0.08088235294117642,50.529411764705884,-2.3529411764705865,23.0,9.0,0.26086956521739135,4.523529411764706,True,False,True,False,False
A000127,22515,1655.62,10.0,5.0,3.0,-0.44848484848484815,2.4,-0.1454545454545453,66.4,-6.278787878787874,15.0,2.0,0.19999999999999996,4.858333333333333,True,False,True,False,True
A000128,32109,0.0,3.0,6.666666666666667,4.0,-2.5000000000000004,3.0,-1.0000000000000002,88.33333333333333,-61.99999999999998,7.0,1.0,0.2857142857142857,4.5,True,False,True,False,False
A000129,40799,2959.5,31.0,18.516129032258064,20.0,0.3249999999999997,4.483870967741935,0.17661290322580644,276.2258064516129,6.993951612903226,10.0,3.0,0.09999999999999998,5.011111111111111,True,False,True,False,True
A000130,13069,0.0,7.0,2.7142857142857144,2.0,-0.3214285714285714,3.2857142857142856,-0.3214285714285717,36.857142857142854,-6.678571428571431,15.0,5.0,0.1333333333333333,3.923076923076923,False,True,False,True,False
A000131,2438,213.16,4.0,1.5,1.0,-0.3999999999999999,3.0,-0.5999999999999998,20.25,-5.900000000000001,6.0,0.0,0.16666666666666663,2.9400000000000004,False,True,False,True,False
A000132,5974,427.18,15.0,2.8666666666666667,4.0,0.17142857142857143,6.466666666666667,0.3714285714285714,44.733333333333334,3.2749999999999995,5.0,2.0,0.0,3.18,False,True,False,True,False
A000133,8056,638.08,34.0,2.0,2.0,-1.0996409026592641e-17,3.0,6.353519540347771e-17,26.941176470588236,-0.03116883116883071,20.0,6.0,0.19999999999999996,4.2,False,True,False,True,True
A000134,13518,1151.01,15.0,2.8666666666666667,2.0,-0.17499999999999974,2.4,-0.09642857142857134,40.266666666666666,-1.9428571428571415,18.0,7.0,0.33333333333333337,4.008333333333334,False,True,False,True,False
A000135,43682,3631.02,11.0,9.818181818181818,5.0,-0.9727272727272723,1.6363636363636365,-0.1272727272727273,127.72727272727273,-9.29090909090909,12.0,5.0,0.41666666666666663,5.185714285714285,True,False,True,False,True
A000136,12672,1049.19,34.0,4.0,4.0,-2.1992818053185282e-17,3.0,6.353519540347771e-17,50.088235294117645,-0.0789915966386554,14.0,2.0,0.0,3.4499999999999997,False,True,False,True,False
A000137,10358,0.0,25.0,3.0,3.0,1.983778464620202e-17,3.0,1.983778464620202e-17,40.32,-0.23384615384615332,11.0,2.0,0.09090909090909094,3.3900000000000006,False,True,False,True,True
A000138,36453,3278.81,8.0,17.625,23.0,1.9166666666666663,4.5,0.7142857142857142,286.25,28.690476190476176,3.0,1.0,0.0,2.5666666666666664,True,False,True,False,True
A000139,11865,1065.08,9.0,2.111111111111111,1.0,-0.2666666666666665,2.4444444444444446,-0.1666666666666665,33.666666666666664,-3.7333333333333325,12.0,5.0,0.33333333333333337,4.4624999999999995,False,True,False,True,True
A000140,43639,3353.5,14.0,14.142857142857142,15.0,-3.0426228535001795e-16,3.0,-5.3015197510639624e-17,201.21428571428572,1.189010989010987,10.0,2.0,0.09999999999999998,3.933333333333333,True,False,True,False,False
A000141,20278,1660.89,32.0,5.9375,6.0,0.003665689149560195,4.0,1.0443137044053249e-16,88.84375,0.3139662756598266,22.0,2.0,0.0,3.3272727272727276,True,False,True,False,True
