opportunity_id,account_id,lead_id,opp_type,created_date,close_date,product_tier,deal_size_usd,competitor_present,num_stakeholders,sales_engineering_involved,engagement_score,total_cycle_days,outcome
O200015,A100079,L100079,New Business,2025-05-03 12:04:41,2025-07-26 12:04:41,Starter,2800.0,False,1,True,3.24,84.0,Lost
O200016,A100080,L100080,New Business,2026-02-23 05:35:42,2026-04-13 05:35:42,Growth,8800.0,True,3,False,3.07,49.0,Lost
O200017,A100084,L100084,New Business,2025-02-26 16:23:03,2025-05-31 16:23:03,Growth,7800.0,False,4,False,2.44,94.0,Won
O200018,A100088,L100088,New Business,2025-08-28 00:02:29,2025-12-10 00:02:29,Starter,2800.0,False,1,False,1.84,104.0,Won
O200019,A100091,L100091,New Business,2025-09-18 00:11:09,2026-02-03 00:11:09,Growth,11000.0,False,1,False,2.31,138.0,Lost
O200020,A100102,L100102,New Business,2025-09-29 04:07:42,2025-12-10 04:07:42,Business,26600.0,False,6,True,2.43,72.0,Lost
O200021,A100106,L100106,New Business,2025-04-14 10:52:35,,Starter,3100.0,True,6,False,2.53,111.0,Open
O200022,A100112,L100112,New Business,2024-08-09 10:02:23,2024-11-13 10:02:23,Business,28100.0,False,1,True,1.1,96.0,Won
O200023,A100116,L100116,New Business,2023-06-30 09:54:03,2023-08-16 09:54:03,Starter,3600.0,False,4,False,1.17,47.0,Lost
O200024,A100117,L100117,New Business,2023-10-31 05:47:49,2023-11-26 05:47:49,Starter,3500.0,True,4,False,2.72,26.0,Won
O200025,A100119,L100119,New Business,2024-07-04 21:20:05,2024-12-18 21:20:05,Growth,9300.0,True,4,False,3.05,167.0,Lost
O200026,A100139,L100139,New Business,2023-10-17 13:53:21,2024-01-12 13:53:21,Enterprise,69200.0,False,4,True,2.99,87.0,Won
O200027,A100141,L100141,New Business,2024-06-22 23:54:50,,Starter,3600.0,False,5,False,1.8,90.0,Open
O200028,A100142,L100142,New Business,2026-04-27 01:25:31,2026-07-01 01:25:31,Growth,8800.0,False,6,False,1.27,65.0,Won
O200029,A100146,L100146,New Business,2025-10-10 14:54:27,2026-02-07 14:54:27,Growth,4400.0,False,1,False,1.67,120.0,Lost
O200030,A100147,L100147,New Business,2025-12-11 01:30:23,2025-12-31 01:30:23,Starter,2800.0,False,1,False,1.55,20.0,Lost
O200031,A100151,L100151,New Business,2024-07-11 10:22:20,2024-08-30 10:22:20,Enterprise,54400.0,True,6,True,1.64,50.0,Won
O200032,A100157,L100157,New Business,2025-04-27 19:09:24,2025-08-19 19:09:24,Growth,9900.0,False,3,True,1.67,114.0,Won
O200033,A100158,L100158,New Business,2024-06-18 19:09:30,2024-09-18 19:09:30,Growth,7800.0,True,6,False,1.93,92.0,Lost
O200034,A100162,L100162,New Business,2024-02-23 13:29:14,2024-03-28 13:29:14,Growth,10900.0,False,6,False,2.16,34.0,Lost
O200035,A100170,L100170,New Business,2025-05-31 08:43:34,2025-09-13 08:43:34,Growth,10900.0,False,6,False,3.12,105.0,Lost
O200036,A100181,L100181,New Business,2023-08-10 14:45:34,2023-12-09 14:45:34,Enterprise,57600.0,True,3,False,2.66,121.0,Won
O200037,A100183,L100183,New Business,2023-10-22 01:20:45,2024-02-17 01:20:45,Business,13800.0,True,4,True,3.13,118.0,Lost
O200038,A100185,L100185,New Business,2025-05-26 10:20:47,2025-07-24 10:20:47,Growth,9300.0,True,6,False,2.3,59.0,Lost
O200039,A100191,L100191,New Business,2024-03-26 14:50:08,2024-06-14 14:50:08,Enterprise,58700.0,True,4,True,3.38,80.0,Lost
O200040,A100208,L100208,New Business,2024-07-05 18:31:12,2024-10-29 18:31:12,Growth,6500.0,True,6,False,1.89,116.0,Lost
O200041,A100210,L100210,New Business,2023-12-30 20:41:56,2024-01-25 20:41:56,Business,28800.0,True,2,False,2.16,26.0,Lost
O200042,A100217,L100217,New Business,2025-05-13 05:09:43,2025-08-28 05:09:43,Business,20800.0,True,1,False,2.13,107.0,Won
O200043,A100221,L100221,New Business,2025-10-24 18:10:43,2026-03-19 18:10:43,Enterprise,62000.0,False,1,False,2.43,146.0,Lost
O200044,A100226,L100226,New Business,2025-12-04 05:06:26,2026-04-12 05:06:26,Growth,6400.0,True,4,False,3.31,129.0,Won
O200045,A100227,L100227,New Business,2023-03-01 19:11:38,2023-06-16 19:11:38,Enterprise,50300.0,False,4,True,2.61,107.0,Lost
O200046,A100228,L100228,New Business,2025-08-13 15:14:50,2025-12-27 15:14:50,Growth,6800.0,True,1,True,3.44,136.0,Won
O200047,A100230,L100230,New Business,2025-06-15 00:36:29,2025-08-14 00:36:29,Enterprise,34700.0,False,4,False,2.32,60.0,Won
O200048,A100231,L100231,New Business,2025-04-14 13:26:47,2025-06-16 13:26:47,Enterprise,63200.0,True,3,True,3.44,63.0,Won
O200049,A100235,L100235,New Business,2023-07-29 22:24:04,2023-10-13 22:24:04,Starter,3200.0,True,1,True,3.3,76.0,Lost
