lead_id,account_id,created_at,source,industry,region,company_size,web_sessions_30d,content_downloads,demo_requested,email_open_rate,pricing_page_views,engagement_score,lead_status,converted_to_opportunity,conversion_date
L100026,A100026,2024-05-05 13:02:04,Referral,Telecom,LATAM,1-50,5,0,0,0.45,2,1.53,Disqualified,False,
L100027,A100027,2025-09-29 22:42:49,Paid Ads,Logistics,Europe,51-200,5,2,1,0.338,2,3.17,Working,False,
L100028,A100028,2024-10-26 21:04:27,Partner,FinTech,LATAM,51-200,5,1,1,0.25,0,2.3,Converted,True,2024-11-09 21:04:27
L100029,A100029,2024-06-24 12:31:32,Outbound SDR,E-commerce/Retail,North America,51-200,4,0,1,0.268,1,2.07,Working,False,
L100030,A100030,2024-07-03 02:38:40,Event/Webinar,E-commerce/Retail,Europe,201-1000,3,0,0,0.474,1,1.16,Disqualified,False,
L100031,A100031,2023-10-05 00:05:45,Organic Search,E-commerce/Retail,North America,1-50,6,1,0,0.416,1,1.73,Converted,True,2023-10-13 00:05:45
L100032,A100032,2023-04-23 07:31:41,Paid Ads,Telecom,Europe,51-200,4,1,0,0.251,4,1.9,Disqualified,False,
L100033,A100033,2024-11-07 00:55:57,Outbound SDR,FinTech,North America,1-50,3,0,0,0.534,3,1.65,Disqualified,False,
L100034,A100034,2025-12-18 08:06:18,Paid Ads,Professional Services,North America,1-50,2,0,0,0.358,5,1.7,Disqualified,False,
L100035,A100035,2023-03-19 19:02:15,Outbound SDR,Professional Services,India,1-50,4,3,0,0.506,5,3.16,Working,False,
L100036,A100036,2025-11-12 06:10:12,Referral,Media/Entertainment,APAC,201-1000,8,2,0,0.269,1,2.08,Converted,True,2025-11-28 06:10:12
L100037,A100037,2025-10-05 21:10:39,Partner,Healthcare IT,North America,51-200,5,2,0,0.363,1,1.91,Disqualified,False,
L100038,A100038,2023-12-04 08:52:53,Organic Search,E-commerce/Retail,LATAM,51-200,4,0,0,0.338,0,0.87,Disqualified,False,
L100039,A100039,2025-02-08 23:58:25,Event/Webinar,EdTech,APAC,51-200,2,1,1,0.331,2,2.51,Working,False,
L100040,A100040,2023-07-21 09:56:31,Paid Ads,EdTech,Europe,1-50,8,2,0,0.278,1,2.09,Working,False,
L100041,A100041,2025-07-13 02:36:53,Referral,Media/Entertainment,Europe,1-50,4,1,0,0.418,1,1.54,Converted,True,2025-07-26 02:36:53
L100042,A100042,2025-05-03 22:29:59,Referral,Media/Entertainment,North America,51-200,7,1,0,0.357,1,1.75,Converted,True,2025-06-11 22:29:59
L100043,A100043,2024-03-08 04:00:42,Organic Search,Professional Services,India,201-1000,7,3,1,0.33,0,3.31,Working,False,
L100044,A100044,2023-03-24 19:04:03,Partner,Logistics,Europe,201-1000,5,2,0,0.02,0,1.23,Disqualified,False,
L100045,A100045,2026-03-29 06:44:29,Event/Webinar,Logistics,North America,1-50,3,1,1,0.413,1,2.53,Working,False,
L100046,A100046,2024-06-27 07:01:59,Partner,E-commerce/Retail,North America,51-200,5,0,0,0.361,0,1.01,Disqualified,False,
L100047,A100047,2025-12-24 17:09:05,Partner,SaaS/Software,North America,51-200,6,0,1,0.238,0,2.03,Converted,True,2025-12-27 17:09:05
L100048,A100048,2025-04-06 09:11:54,Outbound SDR,Manufacturing,Europe,201-1000,3,2,0,0.301,1,1.62,Disqualified,False,
L100049,A100049,2025-08-06 20:23:15,Paid Ads,Healthcare IT,APAC,1-50,2,0,0,0.136,2,0.79,Disqualified,False,
